     no                          player      date of birth   batting style                                   bowling style      first class team
0    51   mohammad azharuddin (captain)    8 february 1963  right hand bat                                right arm medium  hyderabad derbyshire
1   111                    ajit agarkar    4 december 1977  right hand bat                         right arm fast - medium                bombay
2    95                    rahul dravid    11 january 1973  right hand bat                             right arm off break             karnataka
3    84                  sourav ganguly        8 july 1972   left hand bat                                right arm medium                bengal
4    85                     ajay jadeja    1 february 1971  right hand bat                                right arm medium               haryana
5    98                     sunil joshi        6 june 1970   left hand bat                          left arm orthodox spin             karnataka
6    78                     anil kumble    17 october 1970  right hand bat                      right arm leg break googly             karnataka
7   112                    v v s laxman    1 november 1974  right hand bat                             right arm off break             hyderabad
8    88  nayan mongia (wicket - keeper)   19 december 1969  right hand bat                                 wicket - keeper                baroda
9    89                venkatesh prasad      5 august 1969  right hand bat                         right arm medium - fast             karnataka
10   71                     robin singh  14 september 1963   left hand bat                         right arm medium - fast            tamil nadu
11   81                 javagal srinath     31 august 1969  right hand bat                         right arm fast - medium             karnataka
12   74                sachin tendulkar      24 april 1973  right hand bat  right arm off break right arm leg break googly                bombay
