                      shooter              event              rank points             score points                    total
0       ralf schumann ( ger )           wcf 2007       defending champion       defending champion       defending champion
1    oleksandr petriv ( ukr )         og beijing    olympic gold medalist    olympic gold medalist    olympic gold medalist
2     christian reitz ( ger )         og beijing  olympic bronze medalist  olympic bronze medalist  olympic bronze medalist
3   sergei alifirenko ( rus )         wc beijing                       15                       10                       25
4         leuris pupo ( cub )  wc rio de janeiro                       10                       11                       21
5       iulian raicea ( rou )  wc rio de janeiro                        8                        9                       17
6     ivan stoukachev ( rus )           wc milan                        8                        7                       15
7       zhang penghui ( chn )         wc beijing                        8                        6                       14
8           renã vogn ( den )          wc munich                        4                        7                       11
9        jorge llames ( esp )           wc milan                        5                        6                       11
10        josef fiala ( cze )          wc munich                        5                        6                       11
