    rank          nation  gold  silver  bronze  total
0      1    soviet union    24      12       4     40
1      2   united states     5       7       9     21
2      3         finland     3       4       4     11
3      4         romania     2       2       3      7
4      5   great britain     2       0       2      4
5      6  czechoslovakia     1       3       2      6
6      7         germany     0       2       1      3
7      7           italy     0       2       1      3
8      9         hungary     0       1       4      5
9     10          sweden     0       1       2      3
10    10      yugoslavia     0       1       2      3
11    12       venezuela     0       1       1      2
12    13        bulgaria     0       1       0      1
13    14         belgium     0       0       1      1
14    14     north korea     0       0       1      1
