    no in series  no in season       title       directed by                                 written by   original air date
0             40             1    babyface       peter tolan                denis leary and peter tolan      june 13 , 2007
1             41             2     tuesday    jace alexander                peter tolan and denis leary      june 20 , 2007
2             42             3  commitment    jace alexander                                evan reilly      june 27 , 2007
3             43             4   pussified    jace alexander                denis leary and peter tolan      july 11 , 2007
4             44             5       black    jace alexander                             mike martineau      july 18 , 2007
5             45             6     balance      don scardino                                evan reilly      july 25 , 2007
6             46             7       seven      don scardino                peter tolan and denis leary     august 1 , 2007
7             47             8        solo       ken girotti  denis leary , peter tolan and evan reilly     august 8 , 2007
8             48             9       anger       ken girotti                                evan reilly    august 15 , 2007
9             49            10        high  john fortenberry                peter tolan and denis leary    august 22 , 2007
10            50            11       cycle  john fortenberry                                john scurti    august 29 , 2007
11            51            12       keefe    jace alexander  denis leary , peter tolan and evan reilly  september 5 , 2007
