    round  pick  overall             name          position                   college
0       1     2        2      george kunz  offensive tackle                notre dame
1       2     3       29      paul gipson      running back                   houston
2       3     2       54   malcolm snider  offensive tackle                  stanford
3       3    15       67    jon sandstrom             guard              oregon state
4       4     3       81   james mitchell         tight end          prairie view a&m
5       4    25      103      dicky lyons    defensive back                  kentucky
6       5    23      127     tony pleviak     defensive end                  illinois
7       6     7      137      wally oyler    defensive back                louisville
8       7     2      158     dick enderle             guard                 minnesota
9       7     8      164     ted cottrell        linebacker           delaware valley
10      8     3      185     jim callahan     wide receiver                    temple
11     10     3      237    jeff stanciel      running back  mississippi valley state
12     11     2      262    jeff van note            center                  kentucky
13     12     3      289   denver samples  defensive tackle                      utep
14     13     2      313  harry carpenter  offensive tackle           tennessee state
15     14     3      341       billy hunt    defensive back                    kansas
16     15     2      366  jim weatherford    defensive back                 tennessee
17     16     3      393        ed hughes      running back            texas southern
18     17     2      418    paul williams      running back                california
