                    driver     constructor  laps  time / retired  grid
0           jackie stewart    matra - ford    68      1:39:11.26     3
1             jochen rindt    lotus - ford    68          + 0.08     1
2   jean - pierre beltoise    matra - ford    68          + 0.17     6
3            bruce mclaren  mclaren - ford    68          + 0.19     5
4            piers courage  brabham - ford    68         + 33.44     4
5         pedro rodrã­guez         ferrari    66        + 2 laps    12
6              denny hulme  mclaren - ford    66        + 2 laps     2
7               jo siffert    lotus - ford    64          engine     8
8              graham hill    lotus - ford    63       halfshaft     9
9               jacky ickx  brabham - ford    61     out of fuel    15
10            john surtees             brm    60  not classified    10
11           jackie oliver             brm    48    oil pressure    11
12            silvio moser  brabham - ford     9       fuel leak    13
13            jack brabham  brabham - ford     6        oil leak     7
14              john miles    lotus - ford     3          engine    14
