                              round                           team 1                              agg                           team 2                          1st leg                          2nd leg
0           2007 uefa intertoto cup          2007 uefa intertoto cup          2007 uefa intertoto cup          2007 uefa intertoto cup          2007 uefa intertoto cup          2007 uefa intertoto cup
1                       first round              shakhtyor soligorsk                            4 - 3                   ararat yerevan                            4 - 1                            0 - 2
2                      second round              chernomorets odessa                            6 - 2              shakhtyor soligorsk                            4 - 2                            2 - 0
3                2007 - 08 uefa cup               2007 - 08 uefa cup               2007 - 08 uefa cup               2007 - 08 uefa cup               2007 - 08 uefa cup               2007 - 08 uefa cup
4            first qualifying round               liepājas metalurgs                            3 - 2                     dinamo brest                            1 - 1                            2 - 1
5            first qualifying round                      skonto riga                            1 - 3                     dinamo minsk                            1 - 1                            0 - 2
6           second qualifying round                     dinamo minsk                            1 - 5                           odense                            1 - 1                            0 - 4
7                       first round                       villarreal                            6 - 1                     bate borisov                            4 - 1                            2 - 0
8   2007 - 08 uefa champions league  2007 - 08 uefa champions league  2007 - 08 uefa champions league  2007 - 08 uefa champions league  2007 - 08 uefa champions league  2007 - 08 uefa champions league
9            first qualifying round                    apoel nicosia                            2 - 3                     bate borisov                            2 - 0                    0 - 3 ( aet )
10          second qualifying round                    hafnarfjarðar                            2 - 4                     bate borisov                            1 - 3                            1 - 1
11           thind qualifying round                     bate borisov                            2 - 4                 steaua bucureşti                            2 - 2                            0 - 2
