    season              team  wins  losses  draws
0     1898     west adelaide     0      14      0
1     1906     west adelaide     0      12      0
2     1908             sturt     0      12      0
3     1909    south adelaide     0      12      0
4     1921           glenelg     0      14      0
5     1922           glenelg     0      14      0
6     1923           glenelg     0      14      0
7     1924           glenelg     0      14      0
8     1926    south adelaide     0      13      1
9     1933     west adelaide     0      17      0
10    1948    south adelaide     0      17      0
11    1950    south adelaide     0      17      0
12    1964  central district     0      20      0
13    1995             sturt     0      22      0
