                           team            truck (s)   -            driver (s)               primary sponsor (s)    listed owner (s)         crew chief
0             bill davis racing        toyota tundra   5          mike skinner                     toyota tundra          bill davis       jeff hensley
1             bill davis racing        toyota tundra  22           bill lester                          suntrust          bill davis       doug wolcott
2             bill davis racing        toyota tundra  23         johnny benson         toyota racing development          gail davis           greg ely
3                          bhr2            dodge ram   8       deborah renshaw       easy care service contracts      ray montgomery      bob bissinger
4      billy ballew motorsports  chevrolet silverado  15           shane hmiel                       kraft foods        billy ballew     richie wauters
5         bobby hamilton racing            dodge ram   4        bobby hamilton                         bailey 's  stephanie hamilton      danny rollins
6         bobby hamilton racing            dodge ram   4          casey atwood                         bailey 's      bobby hamilton        randy seals
7         bobby hamilton racing            dodge ram  18      chase montgomery                             n / a      bobby hamilton         kip mccord
8                 brevak racing            dodge ram  31       nick tucker (r)                         repairone       shelly brevak         bob brevak
9             circle bar racing         ford f - 150  14         rick crawford           circle bar truck corral        tom mitchell     kevin starland
10  darrell waltrip motorsports        toyota tundra  12        robert huffman                     toyota tundra     darrell waltrip   glenn funderburk
11  darrell waltrip motorsports        toyota tundra  17       david reutimann                      ntn bearings     darrell waltrip   jason overstreet
12           fiddle back racing        toyota tundra  66           todd bodine                windbreaker racing        tom eldredge          tony furr
13      germain / arnold racing        toyota tundra   9  shigeaki hattori (r)                             aisin         bob germain       tom ackerman
14      germain / arnold racing        toyota tundra  30          chad chaffin                     toyota tundra     stephen germain  mike hillman , jr
15           green light racing  chevrolet silverado   7           sean murphy                             n / a    gene christensen          doug howe
16               ht motorsports            dodge ram  59       robert pressley                     melling , inc          jim harris        fred graves
17          k automotive racing         ford f - 150  29       brad keselowski                          subcrews      kay keselowski     bob keselowski
18   kevin harvick incorporated  chevrolet silverado   6          ron hornaday                     gm goodwrench      delana harvick       wally rogers
19                    kw racing  chevrolet silverado   8            ken weaver           1 - 800 - 4 - a - phone        bobby dotter         scott neal
20           mighty motorsports  chevrolet silverado  24         wayne edwards                             n / a        rob ferguson       cliff button
21  morgan - dollar motorsports  chevrolet silverado  46         dennis setzer               chevrolet silverado        david dollar      eric phillips
22               orleans racing            dodge ram  62            steve park                    orleans casino     michael gaughan     charlie wilson
23               orleans racing            dodge ram  77       brendan gaughan    jasper engines & transmissions     michael gaughan      billy wilburn
24                   ppc racing         ford f - 150  10            terry cook               power stroke diesel         greg pollex           rick gay
25             red horse racing        toyota tundra  38         brandon whitt  cure autism now / mcmillin homes         tom deloach        jamie jones
26                rhodes racing            dodge ram  48          derrike cope                james western star          ron rhodes       james hylton
27                 roush racing         ford f - 150  50      todd kluever (r)             world financial group          jack roush        john monsam
28                 roush racing         ford f - 150  99          ricky craven                        superchips          jack roush          mike beam
29           spears motorsports  chevrolet silverado  75           david starr              spears manufacturing        wayne spears       dave mccarty
30           sutton motorsports  chevrolet silverado   2          kelly sutton                     team copaxone           ed sutton     jason weissman
31             thorsport racing  chevrolet silverado  13           tracy hines          david zoriki motorsports        duke thorson        shane tesch
32             thorsport racing  chevrolet silverado  88          matt crafton                           menards      rhonda thorson      dennis connor
33            ultra motorsports            dodge ram   1          ted musgrave                             mopar           jim smith          gene nead
34            ultra motorsports            dodge ram   2         jimmy spencer                   team ase racing       marlene smith       buddy barnes
35           xpress motorsports  chevrolet silverado  15           regan smith                             n / a           dave fuge              n / a
