    season                                         series        races         wins     position
0     1989                           spanish formula fiat            7            2          1st
1     1990                           spanish formula ford           10            8          1st
2     1990                           british formula ford            6            0           nc
3     1990                          formula ford festival            1            0         12th
4     1991           spanish formula renault championship           10            0          4th
5     1992  rencontres internationales de formule renault            3            2          1st
6     1992                  formula renault great britain           12            3          1st
7     1993                          british formula three           14            0          6th
8     1993                               macau grand prix            1            0           nc
9     1993                       masters of formula three            1            0          9th
10    1994                          british formula three           17            0         19th
11    1995                      all - japan formula three            9            8          1st
12    1995                               macau grand prix            1            0          3rd
13    1996                                 formula nippon           10            0          8th
14    1996                    all - japan gt championship            6            0         13th
15    1996                               macau grand prix            1            0          7th
16    1997                                 formula nippon           10            6          1st
17    1997                    all - japan gt championship            6            2          1st
18    1998                                    formula one  test driver  test driver  test driver
19    1999                                    formula one           16            0         18th
20    2000                                    formula one           17            0         16th
21    2001                                    formula one  test driver  test driver  test driver
22    2001                                    formula one           13            0         16th
23    2002                                    formula one           17            0         21st
24    2003                                    formula one  test driver  test driver  test driver
25    2004                                    formula one  test driver  test driver  test driver
26    2005                                    formula one  test driver  test driver  test driver
27    2005                                    formula one            1            0         20th
28    2006                                    formula one  test driver  test driver  test driver
29    2006                                    formula one            8            0         11th
30    2007                                    formula one  test driver  test driver  test driver
31    2008                                    formula one  test driver  test driver  test driver
32    2009                                    formula one  test driver  test driver  test driver
33    2010                                    formula one           14            0         17th
34    2011                                    formula one  test driver  test driver  test driver
35    2011                                    formula one            1            0         20th
36    2012                                    formula one           20            0         25th
37    2013                                    formula one  test driver  test driver  test driver
