    nat                       name          since  goals  ends  transfer fee
0   sco             allan mcgregor           1998      0  2013  youth system
1   usa                maurice edu           2008      2  2013         2.6 m
2   sco     david weir ( captain )  2007 (winter)      5  2010          free
3   esp             carlos cuéllar           2007      5  2011        2.37 m
4   por               pedro mendes           2008      4  2011           3 m
5   bih                 saša papac           2006      2  2011        0.45 m
6   sco             barry ferguson  2005 (winter)     61  2010         4.5 m
7   alg             brahim hemdani           2005      2  2009          free
8   sco              kevin thomson  2007 (winter)      3  2011           2 m
9   sco                  kris boyd  2005 (winter)    102  2010         0.4 m
10  esp                 nacho novo           2004     64  2010        0.45 m
11  sco               charlie adam           2003     18  2012  youth system
12  sco              lee mcculloch           2007      7  2011        2.25 m
13  sco            steven naismith           2008      5  2012         1.9 m
14  sco                   alan gow           2007      0  2010          free
15  sco               graeme smith           2007      0  2010          free
16  sco                chris burke           2000     14  2009  youth system
17  sco               kenny miller           2008     24  2011           2 m
18  fra  jean - claude darcheville           2007     16  2009          free
19  usa           damarcus beasley           2007      5  2010         0.7 m
20  sco             kirk broadfoot           2007      1  2010          free
21  sco               andy webster           2008      1  2011         0.4 m
22  sco           christian dailly  2008 (winter)      2  2009          free
23  alg           madjid bougherra           2008      1  2012         2.5 m
24  sco             neil alexander  2008 (winter)      0  2011          free
25  sco               steven smith           2002      1  2010  youth system
26  nir              kyle lafferty           2008      9  2013        3.25 m
27  sco           steven whittaker           2007      8  2012           2 m
28  gab              daniel cousin           2007     13  2010         1.1 m
29  esp               aarón ñíguez           2008      2  2010          loan
30  nir               steven davis           2008      8  2012           3 m
31  lit            andrius velička           2008      5  2011           1 m
32  sco                   rory loy           2006      0  2011       0.025 m
33  sco                 john fleck           2007      1  2011  youth system
34  nir              andrew little           2006      0  2011  youth system
