    round          date                                         grand prix           circuit  motogp winner              moto2 winner              moto3 winner  report
0       1       8 april                 commercialbank grand prix of qatar            losail  jorge lorenzo              marc márquez          maverick viñales  report
1       2      29 april                         gran premio bwin de españa             jerez   casey stoner             pol espargaró             romano fenati  report
2       3         6 may         grande premio de portugal circuito estoril           estoril   casey stoner              marc márquez            sandro cortese  report
3       4        20 may                monster energy grand prix de france           le mans  jorge lorenzo              thomas lüthi               louis rossi  report
4       5        3 june                     gran premi aperol de catalunya         catalunya  jorge lorenzo            andrea iannone          maverick viñales  report
5       6       17 june                           hertz british grand prix       silverstone  jorge lorenzo             pol espargaró          maverick viñales  report
6       7       30 june                                     iveco tt assen             assen   casey stoner              marc márquez          maverick viñales  report
7       8        8 july                eni motorrad grand prix deutschland       sachsenring   dani pedrosa              marc márquez            sandro cortese  report
8       9       15 july                           gran premio d'italia tim           mugello  jorge lorenzo            andrea iannone          maverick viñales  report
9      10       29 july                             red bull us grand prix       laguna seca   casey stoner  no moto2 and moto3 races  no moto2 and moto3 races  report
10     11     19 august                   red bull indianapolis grand prix      indianapolis   dani pedrosa              marc márquez                luis salom  report
11     12     26 august                    bwin grand prix české republiky              brno   dani pedrosa              marc márquez              jonas folger  report
12     13  16 september  gp aperol di san marino e della riviera di rimini            misano  jorge lorenzo              marc márquez            sandro cortese  report
13     14  30 september                        gran premio iveco de aragón  motorland aragón   dani pedrosa             pol espargaró                luis salom  report
14     15    14 october                        airasia grand prix of japan            motegi   dani pedrosa              marc márquez                danny kent  report
15     16    21 october                    malaysian motorcycle grand prix            sepang   dani pedrosa           alex de angelis            sandro cortese  report
16     17    28 october                      airasia australian grand prix    phillip island   casey stoner             pol espargaró            sandro cortese  report
