    rank                                     title                                    studio                        director (s)  worldwide gross
0      1  star wars episode i : the phantom menace              20th century fox / lucasfilm                        george lucas        924317558
1      2                           the sixth sense        hollywood pictures / blinding edge                   m night shyamalan        672806292
2      3                               toy story 2                            disney / pixar       john lasseter and lee unkrich        485015179
3      4                                the matrix                               warner bros              andy & larry wachowski        460379930
4      5                                    tarzan                      walt disney pictures           kevin lima and chris buck        448191819
5      6                                 the mummy  universal studios / amblin entertainment                     stephen sommers        415933406
6      7                              notting hill                         universal studios                       roger michell        363889678
7      8                   the world is not enough                                       mgm                       michael apted        361832400
8      9                           american beauty                                dreamworks                          sam mendes        356296601
9     10    austin powers : the spy who shagged me                           new line cinema                           jay roach        312016858
10    11                             runaway bride                    paramount / touchstone                      garry marshall        309457509
11    12                             stuart little                         columbia pictures                         rob minkoff        300135367
12    13                            the green mile                               warner bros                      frank darabont        290701374
13    14                   the blair witch project                               haxan films  eduardo sã¡nchez and daniel myrick        248639099
14    15                              american pie                         universal studios                          paul weitz        235483004
15    16                                 big daddy                         columbia pictures                        dennis dugan        234801895
16    17                            wild wild west                               warner bros                    barry sonnenfeld        222105681
17    18                                entrapment                          20th century fox                           jon amiel        212404396
18    19                               end of days                         universal studios                         peter hyams        211989043
19    20                             sleepy hollow                        paramount pictures                          tim burton        206071502
