              season               div               pos               pld               pts
0   newcastle eagles  newcastle eagles  newcastle eagles  newcastle eagles  newcastle eagles
1        1996 - 1997               bbl               7th                36                42
2        1997 - 1998               bbl               3rd                36                50
3        1998 - 1999               bbl               5th                36                42
4        1999 - 2000             bbl n               6th                36                10
5        2000 - 2001             bbl n               3rd                36                40
6        2001 - 2002             bbl n               3rd                32                34
7        2002 - 2003               bbl               5th                40                50
8        2003 - 2004               bbl               6th                36                36
9        2004 - 2005               bbl               2nd                40                62
10       2005 - 2006               bbl               1st                40                60
11       2006 - 2007               bbl               3rd                36                50
12       2007 - 2008               bbl               1st                33                58
13       2008 - 2009               bbl               1st                33                56
14       2009 - 2010               bbl               1st                36                62
15       2010 - 2011               bbl               2nd                33                48
16       2011 - 2012               bbl               1st                30                46
17       2012 - 2013               bbl               2nd                33                50
18       2013 - 2014               bbl               1st                 6                10
