                 week                   theme          song choice                 original artist  order    result
0            audition    auditioner 's choice                 last  glenn miller and his orchestra  n / a  advanced
1           hollywood  first solo performance  for once in my life                   stevie wonder  n / a  advanced
2           hollywood       group performance               no one                     alicia keys  n / a  advanced
3           hollywood             second solo    chasing pavements                           adele  n / a  advanced
4   top 24 (12 women)  billboard hot 100 hits         feeling good                        cy grant     12      safe
5   top 20 (10 women)  billboard hot 100 hits  put your records on              corinne bailey rae      4      safe
6    top 16 (8 women)  billboard hot 100 hits            breakaway                  kelly clarkson      1      safe
7              top 12      the rolling stones          wild horses              the rolling stones      6      safe
8              top 11        billboard 1 hits  big girls don't cry                          fergie      8  bottom 3
9              top 10              r&b / soul       chain of fools                 aretha franklin      7  bottom 3
10              top 9         lennonmccartney            let it be                     the beatles      2      safe
