    rank                       nation  gold  silver  bronze  total
0      1                       france    33      21      12     66
1      2                      morocco    12      12      14     38
2      3                        egypt     6       1       7     14
3      4                      romania     4       8       6     18
4      5                       canada     4       6       9     19
5      6                      tunisia     3       6      10     19
6      7                  ivory coast     3       5       3     11
7      8                 burkina faso     2       3       7     12
8      9                      lebanon     2       1       1      4
9     10                        benin     2       0       0      2
10    10                         chad     2       0       0      2
11    12                      senegal     1       4       6     11
12    13                        niger     1       2       2      5
13    14                   seychelles     1       1       0      2
14    15                       rwanda     1       0       2      3
15    16                   madagascar     1       0       1      2
16    17                    lithuania     1       0       0      1
17    18                    mauritius     0       2       2      4
18    19                       quebec     0       2       1      3
19    20                     cameroon     0       1       4      5
20    21        republic of the congo     0       1       2      3
21    21                        gabon     0       1       2      3
22    21                   luxembourg     0       1       2      3
23    24                   cape verde     0       1       1      2
24    24                         mali     0       1       1      2
25    26                new brunswick     0       1       0      1
26    27  french community of belgium     0       0       5      1
27    28                    macedonia     0       0       1      1
28    28                  saint lucia     0       0       1      1
29    28                  switzerland     0       0       1      1
