   season          team name  games  losses  points
0    1965  coquitlam adanacs     30      18      24
1    1966  coquitlam adanacs     30      11      38
2    1967  coquitlam adanacs     30      15      29
3    1968   portland adanacs     38      14      48
4    1969  coquitlam adanacs     29       3      52
5    1970  coquitlam adanacs     30      16      28
6    1971  coquitlam adanacs     31      12      37
7    1972  coquitlam adanacs     36      23      18
8    1973  coquitlam adanacs     25       9      32
9    1974  coquitlam adanacs     24      15      17
10   1975  coquitlam adanacs     24      16      16
11   1976  coquitlam adanacs     24      15      18
12   1977  coquitlam adanacs     24      13      22
13   1978  coquitlam adanacs     24      13      21
14   1979  coquitlam adanacs     30      12      35
15   1980  coquitlam adanacs     24       9      30
16   1981  coquitlam adanacs     24       7      34
17   1982  coquitlam adanacs     24      16      16
18   1983  coquitlam adanacs     24      14      20
19   1984  coquitlam adanacs     24      14      20
20   1985  coquitlam adanacs     24      10      28
21   1986  coquitlam adanacs     24      14      20
22   1987  coquitlam adanacs     24      11      26
23   1988  coquitlam adanacs     24      11      26
24   1989  coquitlam adanacs     24      13      22
25   1990  coquitlam adanacs     24      18      12
26   1991  coquitlam adanacs     24       6      36
27   1992  coquitlam adanacs     24      14      20
28   1993  coquitlam adanacs     23       6      34
29   1994  coquitlam adanacs     20       7      26
30   1995  coquitlam adanacs     25      11      25
31   1996  coquitlam adanacs     20      15      10
32   1997  coquitlam adanacs     20      10      19
33   1998  coquitlam adanacs     25       9      31
34   1999  coquitlam adanacs     25       7      36
35   2000  coquitlam adanacs     25      11      28
36   2001  coquitlam adanacs     20       8      24
37   2002  coquitlam adanacs     20       6      27
38   2003  coquitlam adanacs     20       3      34
39   2004  coquitlam adanacs     20       9      22
40   2005  coquitlam adanacs     18       4      27
41   2006  coquitlam adanacs     18       6      23
42   2007  coquitlam adanacs     18       7      20
43   2008  coquitlam adanacs     18       3      28
44   2009  coquitlam adanacs     18       9      18
45  total         45 seasons   1094     493    1177
