    year     pick        player name          position         college
0   1976        1     lee roy selmon     defensive end        oklahoma
1   1977        1         ricky bell      running back             usc
2   1978       17      doug williams       quarterback       grambling
3   1979  no pick            no pick           no pick         no pick
4   1980       22          ray snell             guard       wisconsin
5   1981        7         hugh green        linebacker      pittsburgh
6   1982       18       sean farrell             guard      penn state
7   1983  no pick            no pick           no pick         no pick
8   1984  no pick            no pick           no pick         no pick
9   1985        8         ron holmes     defensive end      washington
10  1986        1         bo jackson      running back          auburn
11  1986       25          rod jones        cornerback             smu
12  1987        1   vinny testaverde       quarterback           miami
13  1988        4        paul gruber  offensive tackle       wisconsin
14  1989        6   broderick thomas        linebacker        nebraska
15  1990        4      keith mccants        linebacker         alabama
16  1991        7      charles mcrae  offensive tackle       tennessee
17  1992  no pick            no pick           no pick         no pick
18  1993        6         eric curry     defensive end         alabama
19  1994        6       trent dilfer       quarterback    fresno state
20  1995       12        warren sapp  defensive tackle           miami
21  1995       28     derrick brooks        linebacker   florida state
22  1996       12       regan upshaw     defensive end      california
23  1996       22       marcus jones  defensive tackle  north carolina
24  1997       12       warrick dunn      running back   florida state
25  1997       16     reidel anthony     wide receiver         florida
26  1998  no pick            no pick           no pick         no pick
27  1999       15  anthony mcfarland  defensive tackle             lsu
28  2000  no pick            no pick           no pick         no pick
29  2001       14    kenyatta walker  offensive tackle         florida
30  2002  no pick            no pick           no pick         no pick
31  2003  no pick            no pick           no pick         no pick
32  2004       15    michael clayton     wide receiver             lsu
33  2005        5   carnell williams      running back          auburn
34  2006       23       davin joseph             guard        oklahoma
35  2007        4       gaines adams     defensive end         clemson
36  2008       20         aqib talib        cornerback          kansas
37  2009       17       josh freeman       quarterback    kansas state
38  2010        3       gerald mccoy  defensive tackle        oklahoma
39  2011       20    adrian clayborn     defensive end            iowa
40  2012        7        mark barron            safety         alabama
41  2012       31        doug martin      running back     boise state
