           date              visitor   score                 home      record
0   november 15  chicago black hawks   0 - 2  toronto maple leafs   0 - 1 - 0
1   november 17  chicago black hawks   2 - 4     montreal maroons   0 - 2 - 0
2   november 20   pittsburgh pirates   2 - 0  chicago black hawks   0 - 3 - 0
3   november 22     new york rangers   2 - 1  chicago black hawks   0 - 4 - 0
4   november 25        boston bruins   1 - 1  chicago black hawks   0 - 4 - 1
5   november 29  chicago black hawks   2 - 3     new york rangers   0 - 5 - 1
6    december 1  chicago black hawks   3 - 2   pittsburgh pirates   1 - 5 - 1
7    december 6  chicago black hawks   0 - 2      ottawa senators   1 - 6 - 1
8    december 8  chicago black hawks   1 - 2   montreal canadiens   1 - 7 - 1
9   december 11      ottawa senators   1 - 2  chicago black hawks   2 - 7 - 1
10  december 16   new york americans   1 - 0  chicago black hawks   2 - 8 - 1
11  december 18   montreal canadiens   5 - 0  chicago black hawks   2 - 9 - 1
12  december 25  chicago black hawks   2 - 1        boston bruins   3 - 9 - 1
13  december 27  chicago black hawks   2 - 0   new york americans   4 - 9 - 1
14  december 30  chicago black hawks   1 - 3      detroit cougars  4 - 10 - 1
15    january 1      detroit cougars   2 - 1  chicago black hawks  4 - 11 - 1
16    january 3  toronto maple leafs   2 - 0  chicago black hawks  4 - 12 - 1
17    january 6      detroit cougars   3 - 1  chicago black hawks  4 - 13 - 1
18    january 8  chicago black hawks   0 - 1   pittsburgh pirates  4 - 14 - 1
19   january 10     montreal maroons   1 - 1  chicago black hawks  4 - 14 - 2
20   january 13   pittsburgh pirates   1 - 1  chicago black hawks  4 - 14 - 3
21   january 15  chicago black hawks   0 - 1   montreal canadiens  4 - 15 - 3
22   january 17  chicago black hawks   0 - 1     new york rangers  4 - 16 - 3
23   january 20        boston bruins   2 - 0  chicago black hawks  4 - 17 - 3
24   january 22  chicago black hawks   1 - 1      ottawa senators  4 - 17 - 4
25   january 26  chicago black hawks   0 - 2  toronto maple leafs  4 - 18 - 4
26   january 29  chicago black hawks   1 - 4        boston bruins  4 - 19 - 4
27   january 31  chicago black hawks   0 - 2     montreal maroons  4 - 20 - 4
28   february 2     new york rangers   3 - 2  chicago black hawks  4 - 21 - 4
29   february 5  chicago black hawks   1 - 0      detroit cougars  5 - 21 - 4
30   february 7  chicago black hawks   0 - 1   new york americans  5 - 22 - 4
31   february 9   new york americans   1 - 0  chicago black hawks  5 - 23 - 4
32  february 14   montreal canadiens   1 - 0  chicago black hawks  5 - 24 - 4
33  february 16        boston bruins   3 - 0  chicago black hawks  5 - 25 - 4
34  february 21      ottawa senators   3 - 0  chicago black hawks  5 - 26 - 4
35  february 24      detroit cougars   0 - 0  chicago black hawks  5 - 26 - 5
36  february 26  chicago black hawks   0 - 3      detroit cougars  5 - 27 - 5
37  february 28     new york rangers   0 - 0  chicago black hawks  5 - 27 - 6
38      march 2     montreal maroons   1 - 2  chicago black hawks  6 - 27 - 6
39      march 5  chicago black hawks   2 - 3   pittsburgh pirates  6 - 28 - 6
40      march 7  toronto maple leafs   1 - 1  chicago black hawks  6 - 28 - 7
41     march 10   pittsburgh pirates   0 - 1  chicago black hawks  7 - 28 - 7
42     march 12  chicago black hawks  1 - 11        boston bruins  7 - 29 - 7
43     march 14  chicago black hawks   1 - 1     new york rangers  7 - 29 - 8
