    year     mens singles      womens singles                    mens doubles                 womens doubles                        mixed doubles
0   2013          lin dan  ratchanok inthanon  muhammad ahsan hendra setiawan            wang xiaoli yu yang         tontowi ahmad lilyana natsir
1   2011          lin dan          wang yihan              cai yun fu haifeng            wang xiaoli yu yang                zhang nan zhao yunlei
2   2010         chen jin            wang lin              cai yun fu haifeng                du jing yu yang                      zheng bo ma jin
3   2009          lin dan              lu lan              cai yun fu haifeng      zhang yawen zhao tingting  thomas laybourn kamilla rytter juhl
4   2007          lin dan             zhu lin     markis kido hendra setiawan          zhang jiewen yang wei         nova widianto lilyana natsir
5   2006          lin dan        xie xingfang              cai yun fu haifeng             gao ling huang sui           nathan robertson gail emms
6   2005   taufik hidayat        xie xingfang        howard bach tony gunawan          yang wei zhang jiewen         nova widianto lilyana natsir
7   2003       xia xuanze          zhang ning     lars paaske jonas rasmussen             gao ling huang sui       kim dong - moon ra kyung - min
8   2001        hendrawan          gong ruina     halim haryanto tony gunawan             gao ling huang sui                   zhang jun gao ling
9   1999          sun jun      camilla martin   ha tae - kwon kim dong - moon                  ge fei gu jun       kim dong - moon ra kyung - min
10  1997  peter rasmussen         ye zhaoying    candra wijaya sigit budiarto                  ge fei gu jun                      liu yong ge fei
11  1995    heryanto arbi         ye zhaoying      rexy mainaky ricky subagja  gil young - ah jang hye - ock          thomas lund marlene thomsen
12  1993   joko suprianto        susi susanti      ricky subagja rudy gunawan           nong qunhua zhou lei        thomas lund catrine bengtsson
13  1991     zhao jianhua        tang jiuhong  park joo - bong kim moon - soo       guan weizhen nong qunhua    park joo - bong chung myung - hee
14  1989        yang yang          li lingwei           li yongbo tian bingyi          lin ying guan weizhen    park joo - bong chung myung - hee
15  1987        yang yang          han aiping           li yongbo tian bingyi          lin ying guan weizhen            wang pengren shi fangjing
16  1985         han jian          han aiping  park joo - bong kim moon - soo          han aiping li lingwei       park joo - bong yoo sang - hee
17  1983    icuk sugiarto          li lingwei  steen fladberg jesper helledie               lin ying wu dixi          thomas kihlstrãm nora perry
18  1980     rudy hartono    verawaty wiharjo  ade chandra christian hadinata        nora perry jane webster     christian hadinata imelda wiguno
