    election                                        first member                                       first party                                     second member                                      second party                                      third member                                       third party
0       1832                                 edward thomas foley                                              tory                                   kedgwin hoskins                                           liberal                             sir robert price , bt                                           liberal
1       1834                                 edward thomas foley                                      conservative                                   kedgwin hoskins                                           liberal                             sir robert price , bt                                           liberal
2       1841                                  thomas baskerville                                      conservative                                   kedgwin hoskins                                           liberal                                     joseph bailey                                      conservative
3       1847  francis richard haggitt (fr wegg - prosser , 1849)                                      conservative                            george cornewall lewis                                           liberal                                     joseph bailey                                      conservative
4       1850  francis richard haggitt (fr wegg - prosser , 1849)                                      conservative                            george cornewall lewis                                           liberal                 thomas william booker - blakemore                                      conservative
5       1852                                     james king king                                      conservative                               hon charles hanbury                                      conservative                 thomas william booker - blakemore                                      conservative
6       1857                                     james king king                                      conservative                          sir geers cotterell , bt                                           liberal                 thomas william booker - blakemore                                      conservative
7       1858                                     james king king                                      conservative                          sir geers cotterell , bt                                           liberal                               lord montagu graham                                      conservative
8       1859                                     james king king                                      conservative                                  humphrey mildmay                                           liberal                               lord montagu graham                                      conservative
9       1865                                     james king king                                      conservative                                 sir joseph bailey                                      conservative                                  michael biddulph                                           liberal
10      1868                              sir herbert croft , bt                                      conservative                                 sir joseph bailey                                      conservative                                  michael biddulph                                           liberal
11      1874                                       daniel peploe                                      conservative                                 sir joseph bailey                                      conservative                                  michael biddulph                                           liberal
12      1880                                      thomas duckham                                           liberal                                 sir joseph bailey                                      conservative                                  michael biddulph                                           liberal
13      1885    constituency abolished : see leominster and ross  constituency abolished : see leominster and ross  constituency abolished : see leominster and ross  constituency abolished : see leominster and ross  constituency abolished : see leominster and ross  constituency abolished : see leominster and ross
