     res   record             opponent                            method                                            event  round                  location
0   loss  20 - 17     gennadiy kovalev                     tko (punches)                            rings - reincarnation      2             tokyo , japan
1    win  20 - 16       yuji hisamatsu           ko (spinning back kick)                      fwc 1: return of the hammer      1                 australia
2   loss  19 - 16          bill mahood             tko (corner stoppage)                          spartan reality fight 9      3                 australia
3   loss  19 - 15         akihiro gono               decision (majority)                       zst 2 - the battle field 2      3             tokyo , japan
4   loss  19 - 14     mike van arsdale                     tko (strikes)                                   wfa 3: level 3      2    nevada , united states
5   loss  19 - 13          evan tanner              decision (unanimous)                                           ufc 38      3                   england
6    win  19 - 12       yukiyasu ozawa               submission (kimura)                                premium challenge      1             tokyo , japan
7   loss  18 - 12    fedor emelianenko                     tko (strikes)           rings - world title series grand final      1          yokohama , japan
8    win  18 - 11  egidijus valavicius               submission (armbar)                     rings : world title series 5      1          yokohama , japan
9    win  17 - 11  koba tkeshelashvili              decision (unanimous)                     rings : world title series 4      3             tokyo , japan
10  loss  16 - 11      gustavo machado              decision (unanimous)                         rings : 10th anniversary      3             tokyo , japan
11   win  16 - 10   alexandre ferreira     submission (guillotine choke)                     rings : world title series 2      1          yokohama , japan
12  loss  15 - 10   yoshihisa yamamoto                     tko (strikes)               rings : king of kings 2000 block b      1             osaka , japan
13   win   15 - 9       carlos barreto              decision (unanimous)               rings : king of kings 2000 block b      2             osaka , japan
14   win   14 - 9            joe slick                          decision              rings australia : free fight battle      1                 australia
15  loss   13 - 9          jeremy horn               submission (armbar)                   rings usa : rising stars final      1  illinois , united states
16   win   13 - 8    yasuhito namekawa               submission (kimura)                   rings usa : rising stars final      1  illinois , united states
17  loss   12 - 8          matt hughes              decision (unanimous)                     rings : millennium combine 3      2             osaka , japan
18   win   12 - 7       jermaine andre             submission (toe hold)                 rings usa : rising stars block a      1      utah , united states
19   win   11 - 7           matt frost               submission (armbar)                 rings usa : rising stars block a      1      utah , united states
20  loss   10 - 7       iouri bekichev                        ko (punch)               rings russia : russia vs the world      1     ekaterinburg , russia
21   win   10 - 6    yasuhito namekawa     submission (guillotine choke)                           rings australia : nr 4      1                 australia
22   win    9 - 6          brad kohler               submission (kimura)                 rings : king of kings 1999 final      1             tokyo , japan
23  loss    8 - 6     tsuyoshi kohsaka                  decision (split)               rings : king of kings 1999 block b      3             osaka , japan
24   win    8 - 5       willie peeters              submission (kneebar)                                 rings : rise 5th      1                     japan
25   win    7 - 5      masayuki naruse               submission (kimura)                                 rings : rise 2nd      1                     japan
26   win    6 - 5    yasuhito namekawa   submission (arm triangle choke)                                 rings : rise 1st      1                     japan
27   win    5 - 5            dick vrij     submission (rear naked choke)                           rings australia : nr 3      1                 australia
28  loss    4 - 5     kenichi yamamoto                        submission               rings : third fighting integration      1             tokyo , japan
29  loss    4 - 4    valentijn overeem              decision (unanimous)                rings holland : the king of rings      2               netherlands
30  loss    4 - 3        mitsuya nagai            submission (heel hook)  rings - mega battle tournament 1997 semifinal 1      1                     japan
31   win    4 - 2     alexander otsuka  tko (doctor stoppage from a cut)                     rings - extension fighting 2      1                     japan
32  loss    3 - 2         mario sperry              submission (strikes)                                   caged combat 1      1                 australia
33   win    3 - 1        elvis sinosic      submission (chin to the eye)                                   caged combat 1      1                 australia
34   win    2 - 1      hiriwa te rangi      submission (chin to the eye)    caged combat 1 - australian ultimate fighting      1                 australia
35  loss    1 - 1    murilo bustamante             tko (corner stoppage)        mars - martial arts reality superfighting      1   alabama , united states
36   win    1 - 0       willie peeters                             n / a                        rings - budokan hall 1996  n / a             tokyo , japan
