          country                 skip                    third                 second                  lead
0          canada         william dion  jean - michel arsenault          erik lachance        miguel bernard
1           china        zang jialiang                  wang zi               yang tuo            chen lu'an
2  czech republic    krystof chaloupek            michal vojtus          martin hejhal        david jirounek
3         denmark       rasmus stjerne            mikkel krause          oliver dupont          troels harry
4         germany        daniel neuner           florian zahler        johannes glaser       dominik greindl
5          norway  kristian rolvsfjord          steffen walstad  steffen r mellemseter  markus snøve høiberg
6        scotland        glen muirhead            scott macleod          scott andrews      gordon mcdougall
7          sweden       oskar eriksson           henric jonsson         marcus franzén         nils karlsson
8     switzerland          manuel ruch             claudio pätz            daniel graf          joel greiner
9   united states           chris plys          aanders brorson       matthew perushek      matthew hamilton
