    ep  season                 title  directed by                                written by    original air date prod code
0   30       1             the thief  noam pitlik             jeffrey ferro & fredric weiss  september 26 , 1986      5a03
1   31       2               grandma  noam pitlik  frank dungan & jeff stein & tony sheehan    october 03 , 1986      5a04
2   32       3                 debut  noam pitlik             fredric weiss & jeffrey ferro    october 17 , 1986      5a05
3   33       4         kevin 's date  noam pitlik                              tony sheehan    october 24 , 1986      5a07
4   34       5             halloween  noam pitlik             jeffrey ferro & fredric weiss    october 31 , 1986      5a08
5   35       6  deportation : part 1  noam pitlik  frank dungan & jeff stein & tony sheehan   november 07 , 1986      5a01
6   36       7  deportation : part 2  noam pitlik  frank dungan & jeff stein & tony sheehan   november 14 , 1986      5a02
7   37       8               reunion  noam pitlik                 frank dungan & jeff stein   november 21 , 1986      5a10
8   38       9      the spelling bee  noam pitlik             fredric weiss & jeffrey ferro   december 05 , 1986      5a11
9   39      10                 pills  noam pitlik              gene braunstein & bob perlow   december 12 , 1986      5a09
10  40      11            the ticket  noam pitlik                              tony sheehan    january 30 , 1987      5a12
11  41      12         college bound  noam pitlik             jeffrey ferro & fredric weiss    january 09 , 1987      5a13
12  42      13                  inky  noam pitlik                 frank dungan & jeff stein    january 16 , 1987      5a14
13  43      14               jobless  noam pitlik  frank dungan & jeff stein & tony sheehan    january 23 , 1987      5a15
14  44      15             the crush  noam pitlik             fredric weiss & jeffrey ferro   february 06 , 1987      5a16
15  46      17             the cadet  noam pitlik             jeffrey ferro & fredric weiss   february 20 , 1987      5a18
16  47      18  kevin 's older woman  noam pitlik  frank dungan & jeff stein & tony sheehan   february 27 , 1987      5a19
17  48      19                  baby  noam pitlik                               lisa albert      march 06 , 1987      5a06
18  49      20            separation  noam pitlik                 frank dungan & jeff stein        may 01 , 1987      5a21
19  50      21             the mogul  noam pitlik  frank dungan & jeff stein & tony sheehan        may 08 , 1987      5a22
