    year  start     qual  rank  finish  laps
0   1982     13  196.292    17      14   148
1   1984     28  203.567    17      29    57
2   1985      8  210.298     8       1   200
3   1986      2  215.382     2       9   197
4   1987     16  210.271     6      13   160
5   1988      2  216.214     2      23   101
6   1989     26  216.027    15      28    41
7   1990      9  220.310     9      32    19
8   1991      9  218.343    17      10   173
9   1992      8  224.838     9       5   199
10  1993     12  219.428    19      33    29
11  1995     18  225.496    29       9   199
