     rank          nation  gold  silver  bronze  total
0       1    soviet union     5       6       5     16
1       2   great britain     5       4       4     13
2       3     netherlands     5       3       0      8
3       4         hungary     2       2       3      7
4       5           italy     1       2       2      5
5       6          sweden     1       0       2      3
6       7          france     1       0       0      1
7       8    west germany     0       1       2      3
8       9  czechoslovakia     0       1       1      2
9      10      yugoslavia     0       1       0      1
10     11    east germany     0       0       1      1
11  total           total    20      20      20     60
