       season   lkf cup         regional competitions                       europe                                 head coach
0   1997 - 98  champion                             -        korać cup group stage  modestas paulauskas , alfredas vainauskas
1   1998 - 99         -                nebl 3rd place      saporta cup group stage                   vainauskas , sakalauskas
2   1999 - 00         -                 nebl finalist     saporta cup semifinalist                   vainauskas , sakalauskas
3   2000 - 01         -                nebl 3rd place           suproleague top 16  šarūnas sakalauskas , alfredas vainauskas
4   2001 - 02         -                 nebl champion  saporta cup quarterfinalist                           jonas kazlauskas
5   2002 - 03         -                 nebl finalist    champions cup group stage                           jonas kazlauskas
6   2003 - 04         -                             -     uleb cup quarterfinalist                       kazlauskas , kemzūra
7   2004 - 05         -   bbl elite division finalist            uleb cup champion              vlade djurović , tomo mahorić
8   2005 - 06         -   bbl elite division champion            euroleague top 16                              neven spahija
9   2006 - 07  finalist   bbl elite division champion            uleb cup finalist             drucker , sagadin , trifunović
10  2007 - 08  finalist   bbl elite division finalist            euroleague top 16                      aleksandar trifunović
11  2008 - 09  champion   bbl elite division champion             eurocup champion        antanas sireika , rimas kurtinaitis
12  2009 - 10  champion   bbl elite division finalist       euroleague group stage                          rimas kurtinaitis
13  2010 - 11  finalist  bbl elite division 3rd place            euroleague top 16       anzulović , trifunović , maskoliūnas
14  2010 - 11  finalist               vtb group stage            euroleague top 16       anzulović , trifunović , maskoliūnas
15  2011 - 12         -   bbl elite division finalist            eurocup 3rd place                          aleksandar džikić
16  2011 - 12         -                 vtb 3rd place            eurocup 3rd place                          aleksandar džikić
17  2012 - 13         -               vtb group stage       euroleague group stage           džikić , maskoliūnas , bauermann
