   tie no                home team  score             away team              date
0       1                liverpool  0 - 2     nottingham forest  16 february 1895
1       2              aston villa  7 - 1      newcastle united  16 february 1895
2       3      sheffield wednesday  6 - 1         middlesbrough  16 february 1895
3       4         bolton wanderers  1 - 0                  bury  16 february 1895
4       5  wolverhampton wanderers  2 - 0                 stoke  16 february 1895
5       6               sunderland  2 - 0     preston north end  16 february 1895
6       7                  everton  1 - 1      blackburn rovers  16 february 1895
7  replay         blackburn rovers  2 - 3               everton  20 february 1895
8       8         sheffield united  1 - 1  west bromwich albion  16 february 1895
9  replay     west bromwich albion  2 - 1      sheffield united  20 february 1895
