        outcome  date                   tournament   surface             partner                          opponents                          score
0   runner - up  1984        forest hills wct , us      clay     ernie fernandez          david dowlen nduka odizor                  6 - 7 , 5 - 7
1   runner - up  1985              fort myers , us      hard  sammy giammalva jr            ken flach robert seguso          6 - 3 , 3 - 6 , 3 - 6
2        winner  1985       stratton mountain , us      hard         scott davis            ken flach robert seguso          3 - 6 , 7 - 6 , 7 - 6
3        winner  1985        tokyo outdoor , japan      hard         scott davis     sammy giammalva jr greg holmes          7 - 6 , 6 - 7 , 6 - 3
4   runner - up  1985         tokyo indoor , japan    carpet         scott davis            ken flach robert seguso          6 - 4 , 3 - 6 , 6 - 7
5        winner  1986            philadelphia , us    carpet         scott davis        stefan edberg anders järryd  7 - 6 , 3 - 6 , 6 - 3 , 7 - 5
6   runner - up  1986              scottsdale , us      hard         scott davis        leonardo lavalle mike leach                  6 - 7 , 4 - 6
7   runner - up  1987                lyon , france    carpet         kelly jones            guy forget yannick noah          6 - 4 , 3 - 6 , 4 - 6
8        winner  1987             los angeles , us      hard        kevin curren          brad gilbert tim wilkison                  6 - 3 , 6 - 4
9   runner - up  1987               paris , france    carpet         scott davis      jakob hlasek claudio mezzadri                  6 - 7 , 2 - 6
10  runner - up  1987          frankfurt , germany    carpet         scott davis         boris becker patrik kühnen                  4 - 6 , 2 - 6
11       winner  1987  johannesburg , south africa  hard (i)        kevin curren            eric korita brad pearce                  6 - 4 , 6 - 4
12       winner  1988                 memphis , us  hard (i)        kevin curren     peter lundgren mikael pernfors                  6 - 2 , 6 - 2
13  runner - up  1988        tokyo outdoor , japan      hard        steve denton        john fitzgerald johan kriek          4 - 6 , 7 - 6 , 4 - 6
14       winner  1988  johannesburg , south africa  hard (i)        kevin curren           gary muller tim wilkison                  7 - 6 , 6 - 4
15  runner - up  1989            indian wells , us      hard        kevin curren          boris becker jakob hlasek                  6 - 7 , 5 - 7
16  runner - up  1989        tokyo outdoor , japan      hard        kevin curren            ken flach robert seguso                  6 - 7 , 6 - 7
17       winner  1989    sydney indoor , australia  hard (i)        scott warner       darren cahill mark kratzmann          6 - 3 , 6 - 7 , 7 - 5
18       winner  1989         tokyo indoor , japan    carpet        kevin curren  andrés gómez slobodan živojinović          4 - 6 , 6 - 3 , 7 - 6
19       winner  1990                 orlando , us      hard         scott davis            alfonso mora brian page                  6 - 3 , 7 - 5
20       winner  1990           kiawah island , us      clay         scott davis         jim grabb leonardo lavalle                  6 - 2 , 6 - 3
21       winner  1990             los angeles , us      hard         scott davis         peter lundgren paul wekesa          3 - 6 , 6 - 1 , 6 - 3
22       winner  1990            indianapolis , us      hard         scott davis      grant connell glenn michibata                  7 - 6 , 7 - 6
23  runner - up  1990         tokyo indoor , japan    carpet         scott davis            guy forget jakob hlasek                  6 - 7 , 5 - 7
24  runner - up  1990                lyon , france    carpet           jim grabb      patrick galbraith kelly jones                  6 - 7 , 4 - 6
25       winner  1990               paris , france    carpet         scott davis       darren cahill mark kratzmann          5 - 7 , 6 - 3 , 6 - 4
26       winner  1991   sydney outdoor , australia      hard         scott davis       darren cahill mark kratzmann          3 - 6 , 6 - 3 , 6 - 2
27       winner  1991  australian open , melbourne      hard         scott davis      patrick mcenroe david wheaton  6 - 7 , 7 - 6 , 6 - 3 , 7 - 5
28       winner  1991                 chicago , us    carpet         scott davis      grant connell glenn michibata          6 - 4 , 5 - 7 , 7 - 6
29  runner - up  1991                   tampa , us      clay     richey reneberg            ken flach robert seguso          7 - 6 , 4 - 6 , 1 - 6
30       winner  1991         washington , dc , us      hard         scott davis            ken flach robert seguso                  6 - 4 , 6 - 2
31  runner - up  1991           us open , new york      hard         scott davis      john fitzgerald anders järryd  3 - 6 , 6 - 3 , 3 - 6 , 3 - 6
32  runner - up  1991         tokyo indoor , japan    carpet         scott davis          jim grabb richey reneberg          5 - 7 , 6 - 2 , 6 - 7
33  runner - up  1993                osaka , japan      hard     glenn michibata     mark keil christo van rensburg                  6 - 7 , 3 - 6
34  runner - up  1993        tokyo outdoor , japan      hard     glenn michibata               ken flach rick leach          6 - 2 , 3 - 6 , 4 - 6
35  runner - up  1993            montreal , canada      hard     glenn michibata           jim courier mark knowles                  4 - 6 , 6 - 7
