    district          incumbent       party  first elected                             result                                        candidates
0    texas 1      wright patman  democratic           1928                       re - elected  wright patman (d) 94.7% thomas a clarke (r) 5.3%
1    texas 2         john c box  democratic           1918  lost renomination democratic hold                    martin dies , jr (d) unopposed
2    texas 3   morgan g sanders  democratic           1920                       re - elected                    morgan g sanders (d) unopposed
3    texas 4        sam rayburn  democratic           1912                       re - elected       sam rayburn (d) 88.8% floyd harry (r) 11.2%
4    texas 6   luther a johnson  democratic           1922                       re - elected                    luther a johnson (d) unopposed
5    texas 7  clay stone briggs  democratic           1918                       re - elected                   clay stone briggs (d) unopposed
6    texas 8   daniel e garrett  democratic           1920                       re - elected                    daniel e garrett (d) unopposed
7   texas 10   james p buchanan  democratic           1912                       re - elected                    james p buchanan (d) unopposed
8   texas 11     oliver h cross  democratic           1928                       re - elected                      oliver h cross (d) unopposed
9   texas 12     fritz g lanham  democratic           1919                       re - elected                      fritz g lanham (d) unopposed
10  texas 13     guinn williams  democratic           1922                       re - elected     guinn williams (d) 91.1% w c witcher (r) 8.9%
11  texas 17   thomas l blanton  democratic           1930                       re - elected                    thomas l blanton (d) unopposed
