     rank        nation  gold  silver  bronze  total
0       1       nigeria     9       8       7     24
1       2  south africa     7       9       8     24
2       3       tunisia     5       1       4     10
3       4      botswana     5       0       0      5
4       5      ethiopia     4       4       5     13
5       6         kenya     3       6       3     12
6       7         egypt     3       3       0      6
7       8         sudan     3       0       1      4
8       9         ghana     2       3       2      7
9      10       algeria     1       3       6     10
10     11       senegal     1       1       0      2
11     12       eritrea     1       0       1      2
12   13 =    mozambique     1       0       0      1
13   13 =        uganda     1       0       0      1
14     15      zimbabwe     0       1       2      3
15   16 =  burkina faso     0       1       1      2
16   16 =       namibia     0       1       1      2
17   18 =      cameroon     0       1       0      1
18   18 =    madagascar     0       1       0      1
19   18 =     mauritius     0       1       0      1
20   18 =    seychelles     0       1       0      1
21   18 =      tanzania     0       1       0      1
22     23   ivory coast     0       0       2      2
23   24 =         benin     0       0       1      1
24   24 =        guinea     0       0       1      1
25   24 =          mali     0       0       1      1
26   24 =          togo     0       0       1      1
27  total         total    46      46      47    139
