    round  pick            name        position                 college
0       1    14    willie scott       tight end          south carolina
1       2    41     joe delaney    running back      northwestern state
2       3    70   marvin harvey       tight end    southern mississippi
3       3    75    roger taylor          tackle          oklahoma state
4       3    78   lloyd burruss  defensive back                maryland
5       4    97  ron washington   wide receiver           arizona state
6       5   124     todd thomas          center            north dakota
7       6   153     dock luckie          tackle                 florida
8       7   180   billy jackson    running back                 alabama
9       8   206      david dorn   wide receiver                 rutgers
10      9   237  anthony vereen  defensive back  southeastern louisiana
11     10   262    les studdard          center                   texas
12     11   289      frank case   defensive end              penn state
13     12   319    bob gagliano     quarterback              utah state
