     res  record           opponent                         method  round  time                                    location
0    win  14 - 8        kyle keeney       tko (leg kick & punches)      1  0:50          ft lauderdale , fl , united states
1    win  13 - 8       dwayne lewis                  tko (punches)      2  3:19                 edmonton , alberta , canada
2   loss  12 - 8         ryan jimmo           decision (unanimous)      3  5:00                 edmonton , alberta , canada
3   loss  12 - 7       alan belcher                  tko (punches)      1  3:03         memphis , tennessee , united states
4   loss  12 - 6     nate marquardt         tko (knee and punches)      3  3:10                            london , england
5    win  12 - 5    jason macdonald            submission (elbows)      1  2:18          las vegas , nevada , united states
6    win  11 - 5        ryan jensen            submission (armbar)      2  2:04            omaha , nebraska , united states
7   loss  10 - 5       goran reljić                  tko (punches)      2  3:15                      nevada , united states
8    win  10 - 4      jason lambert                     ko (punch)      2  0:37               newcastle upon tyne , england
9    win   9 - 4    carmelo marrero  submission (guillotine choke)      1  3:06          las vegas , nevada , united states
10   win   8 - 4    seth petruzelli  submission (guillotine choke)      2  0:39                      nevada , united states
11   win   7 - 4          wes combs  submission (rear naked choke)      1  3:23          las vegas , nevada , united states
12  loss   6 - 4      keith jardine           decision (unanimous)      3  5:00          las vegas , nevada , united states
13   win   6 - 3  kazuhiro hamanaka                   ko (punches)      1  0:39  atlantic city , new jersey , united states
14   win   5 - 3       mike delaney           submission (punches)      1  3:23          racine , wisconsin , united states
15  loss   4 - 3        rory singer                      ko (knee)      2  4:55             miami , florida , united states
16   win   4 - 2      ron faircloth           decision (unanimous)      3  5:00   fort lauderdale , florida , united states
17  loss   3 - 2      ron faircloth          tko (corner stoppage)      1  5:00   fort lauderdale , florida , united states
18  loss   3 - 1     hirotaka yokoi                  tko (punches)      3  2:26   fort lauderdale , florida , united states
19   win   3 - 0          jon fitch                      ko (knee)      1  3:38   fort lauderdale , florida , united states
20   win   2 - 0        ahron davis                     ko (punch)      1  0:22          marietta , georgia , united states
21   win   1 - 0         ray casias            submission (armbar)      1  2:59        evansville , indiana , united states
