   year                    entrant                  chassis              engine  pts
0  1950               ecurie belge       talbot - lago t26c           talbot l6    0
1  1951               ecurie belge  talbot - lago t26c - da           talbot l6    0
2  1952             equipe gordini              gordini t16          gordini l6    0
3  1952               ecurie belge      simca - gordini t15  simca - gordini l4    0
4  1952                  hw motors                   hwm 52             alta l4    0
5  1952    vicomtesse de walckiers      simca - gordini t15  simca - gordini l4    0
6  1953               ecurie belge         connaught type a    lea - francis l4    0
7  1953  officine alfieri maserati          maserati a6 gcm         maserati l6    0
8  1955          stirling moss ltd            maserati 250f         maserati l6    0
9  1955     equipe nationale belge              ferrari 500          ferrari l4    0
