                                                 tie no                                            home team                                                score                                            away team                                           attendance
0                                                     3                                        afc wimbledon                                                0 - 2                                           whyteleafe                                                  529
1                                                     4                                       afc hornchurch                                                3 - 0                                              tilbury                                                  182
2                                                     5                                         arlesey town                                                4 - 0                                         enfield town                                                   75
3                                                     6                                 ashford town (middx)                                                2 - 1                                     walton & hersham                                                   93
4                                                     7                                  ashford town (kent)                                                1 - 3                                    burgess hill town                                                  110
5                                                     8                                      billericay town                                                0 - 3                                          afc sudbury                                                  202
6                                                     9                                            bury town                                                2 - 3                                      chelmsford city                                                  206
7                                                    10                                  carshalton athletic                                                4 - 0                                 corinthian - casuals                                                   75
8                                                    11                                             dartford                                                3 - 0                                               aveley                                                  318
9                                                    12                                       dover athletic                                                2 - 3                                      eastbourne town                                                  151
10                                                   13                                       dulwich hamlet                                                0 - 0                             tooting & mitcham united                                                  149
11  tooting & mitcham united advance 5 - 3 on penalties  tooting & mitcham united advance 5 - 3 on penalties  tooting & mitcham united advance 5 - 3 on penalties  tooting & mitcham united advance 5 - 3 on penalties  tooting & mitcham united advance 5 - 3 on penalties
12                                                   14                                         edgware town                                                3 - 1                                         staines town                                                   48
13                                                   15                                great wakering rovers                                                4 - 1                                               ilford                                                  115
14                                                   16                                          harlow town                                                1 - 3                                                 ware                                                  131
15                                                   17                                       harrow borough                                                0 - 5                                  metropolitan police                                                   76
16                                                   18                                               hendon                                                2 - 3                                         boreham wood                                                  101
17                                                   19                                              horsham                                                4 - 0                                      hastings united                                                  162
18                                                   20                                         horsham ymca                                                4 - 3                                   folkestone invicta                                                   50
19                                                   21                                          kingstonian                                                3 - 1                                       cray wanderers                                                  179
20                                                   22                                          leatherhead                                                3 - 2                                     croydon athletic                                                   67
21                                                   23                                     maidstone united                                                5 - 2                                        canvey island                                                  131
22                                                   24                                              margate                                                2 - 3                                 east thurrock united                                                  174
23                                                   25                                              molesey                                                2 - 3                                           wealdstone                                                  106
24                                                   26                                     potters bar town                                                3 - 1                                               leyton                                                   41
25                                                   27                                             ramsgate                                                4 - 2                                         chatham town                                                   87
26                                                   28                                            redbridge                                                2 - 1                                        sittingbourne                                                   41
27                                                   29                                     tonbridge angels                                                4 - 1                                            chipstead                                                  159
28                                                   30                                        waltham abbey                                                3 - 1                                   wingate & finchley                                                   41
29                                                   31                                       walton casuals                                                1 - 0                                            northwood                                                   34
30                                                   32                                      whitstable town                                                4 - 3                                             worthing                                                  110
31                                                   33                                          witham town                                                1 - 0                                          maldon town                                                   87
32                                                   34                                        wivenhoe town                                                0 - 2                                     heybridge swifts                                                   44
