    year    award ceremony                                            category                           nominee     result
0   2006        tony award                           best revival of a musical         best revival of a musical  nominated
1   2006        tony award    best performance by a leading actor in a musical                  michael cerveris  nominated
2   2006        tony award  best performance by a leading actress in a musical                      patti lupone  nominated
3   2006        tony award   best performance by a featured actor in a musical                   manoel felciano  nominated
4   2006        tony award                         best direction of a musical                        john doyle        won
5   2006        tony award                                 best orchestrations                      sarah travis        won
6   2006  drama desk award                    outstanding revival of a musical  outstanding revival of a musical        won
7   2006  drama desk award                      outstanding actor in a musical                  michael cerveris  nominated
8   2006  drama desk award                    outstanding actress in a musical                      patti lupone  nominated
9   2006  drama desk award             outstanding featured actor in a musical               alexander gemignani  nominated
10  2006  drama desk award                          outstanding orchestrations                      sarah travis        won
11  2006  drama desk award                   outstanding director of a musical                        john doyle        won
12  2006  drama desk award                              outstanding set design                        john doyle  nominated
13  2006  drama desk award                         outstanding lighting design                   richard g jones        won
14  2006  drama desk award                            outstanding sound design                dan moses schreier  nominated
