            player                    club  league  fa cup  fa trophy  league cup  total
0        kim casey  kidderminster harriers      38       4          2           0     44
1      mick carter                 runcorn      30       2          6           3     41
2     steve butler        maidstone united      24       5          3           2     34
3      gary abbott          welling united      23       2          3           0     28
4       chris cook           boston united      23       0          2           2     27
5      ken mckenna          telford united      23       1          0           0     24
6      nicky evans                  barnet      22       0          4           0     26
7   chris townsend         cheltenham town      22       1          0           0     23
8     mike doherty                weymouth      16       0          1           1     18
9       paul bodin               bath city      16       2          2           1     21
10    stewart mell             scarborough      16       0          2           0     18
11    john timmons              altrincham      16       0          0           1     17
