    stage                                  winner general classification points classification mountains classification sprints classification                     team classification
0       1  ind ant - idea - fla - lot de medellín      sergio luis henao              no award                 no award               no award  ind ant - idea - fla - lot de medellín
1       2                         jaime castañeda          óscar sevilla       jaime castañeda            jaime vergara           camilo gómez  ind ant - idea - fla - lot de medellín
2       3                             jairo pérez            jairo pérez       jaime castañeda            jaime vergara           julian lopez  ind ant - idea - fla - lot de medellín
3       4                       sergio luis henao          óscar sevilla         óscar sevilla            jaime vergara           julian lopez  ind ant - idea - fla - lot de medellín
4       5                            fabio duarte          óscar sevilla         óscar sevilla            jaime vergara           julian lopez  ind ant - idea - fla - lot de medellín
5       6                     luis felipe laverde          óscar sevilla         óscar sevilla            jaime vergara            jaime suaza  ind ant - idea - fla - lot de medellín
6       7                         freddy gonzalez          óscar sevilla         óscar sevilla            jaime vergara           camilo gómez      col es pasion café de colombia 472
7       8                          diego calderón          óscar sevilla         óscar sevilla              oscar solis  juan alejandro garcia  ind ant - idea - fla - lot de medellín
8       9                             josé rujano      sergio luis henao     sergio luis henao              oscar solis  juan alejandro garcia  ind ant - idea - fla - lot de medellín
9      10                       sergio luis henao      sergio luis henao     sergio luis henao              oscar solis  juan alejandro garcia                               epm - une
10     11                           jaime vergara      sergio luis henao     sergio luis henao              oscar solis  juan alejandro garcia                               epm - une
11     12                            fabio duarte      sergio luis henao     sergio luis henao              oscar solis  juan alejandro garcia      col es pasion café de colombia 472
12     13                         javier gonzalez      sergio luis henao     sergio luis henao              josé rujano  juan alejandro garcia                               epm - une
