              week 1            week 3                   week 4                                 week 6                 week 7                           week 8                       week 9           week 10           final week 12
0         amit bobby    kashmera rakhi            rakhi roopali                        deepak t ragini       deepak t roopali                     amit roopali                    amit baba     rakhi roopali                  winner
1     bobby deepak p    kashmera rakhi            anupama rakhi                       anupama deepak t          deepak t ravi                       baba rakhi                   baba rakhi        amit rakhi             runner - up
2     bobby deepak p    kashmera rakhi             aryan ragini                             amit rahul        deepak t ragini                       amit carol                    amit baba     carol roopali             third place
3     deepak p rahul       carol rahul               carol ravi                       evicted (day 30)         ragini roopali                    carol roopali                carol roopali     carol roopali        evicted (day 84)
4   deepak p roopali    aryan kashmera              aryan rakhi                         ragini roopali          deepak t ravi                     ragini rakhi                  rahul rakhi      ravi roopali        evicted (day 79)
5      anupama aryan   kashmera ragini           anupama ragini                       anupama deepak t         deepak t rahul                     ragini rahul                  rahul rakhi       rahul rakhi        evicted (day 72)
6       not in house      not in house             not in house                           not in house           not in house                     ragini rakhi                   carol ravi  evicted (day 65)        evicted (day 65)
7     bobby deepak p     deepak t ravi               rakhi ravi                           anupama ravi           ravi roopali                    carol roopali             evicted (day 58)  evicted (day 58)        evicted (day 58)
8       not in house   kashmera ragini             ragini rakhi                           rahul rupali          rahul roopali                 evicted (day 51)             evicted (day 51)  evicted (day 51)        evicted (day 51)
9      carol roopali        amit carol               carol ravi                          carol roopali       evicted (day 44)                 evicted (day 44)             evicted (day 44)  evicted (day 44)        evicted (day 44)
10    deepak p rahul     carol roopali           carol deepak t                       evicted (day 37)       evicted (day 37)                 evicted (day 37)             evicted (day 37)  evicted (day 37)        evicted (day 37)
11    deepak p rahul        amit carol         evicted (day 23)                       evicted (day 23)       evicted (day 23)                 evicted (day 23)             evicted (day 23)  evicted (day 23)                   guest
12       ragini ravi  evicted (day 16)         evicted (day 16)                       evicted (day 16)       evicted (day 16)                 evicted (day 16)             evicted (day 16)  evicted (day 16)        evicted (day 16)
13     deepak p ravi   evicted (day 9)          evicted (day 9)                        evicted (day 9)        evicted (day 9)                  evicted (day 9)              evicted (day 9)   evicted (day 9)         evicted (day 9)
14    bobby deepak p   ejected (day 8)          ejected (day 8)                        ejected (day 8)        ejected (day 8)                  ejected (day 8)              ejected (day 8)   ejected (day 8)         ejected (day 8)
15              none              none                     none                                   none                   none                             none                         none              none                    none
16    bobby deepak p    carol kashmera  carol ragini rakhi ravi  anupama deepak t ragini rahul roopali  deepak t ravi roopali  amit carol ragini rakhi roopali  amit baba carol rahul rakhi     rakhi roopali  carol rahul rakhi ravi
17             salil              none                     none                                   none                   none                             none                         none              none                    none
18             bobby          kashmera                    rakhi                                anupama               deepak t                           ragini                         baba           roopali        rakhi ravi carol
