   round             player    position    nationality     college / junior / club team (league)
0      1     peter forsberg      center         sweden                modo hockey ( elitserien )
1      2       yanick dupre   left wing         canada        drummondville voltigeurs ( qmjhl )
2      4      aris brimanis     defense  united states            bowling green falcons ( ccha )
3      5     yanick degrace  goaltender         canada        trois - riviã¨res draveurs (qmjhl)
4      6     clayton norris  right wing         canada               medicine hat tigers ( whl )
5      6  dmitri yushkevich     defense         russia                   yaroslavl torpedo (rus)
6      7     andrei lomakin   left wing         russia                       moscow dynamo (rus)
7      9           jim bode   left wing  united states  robbinsdale armstrong high school (minn)
8     10       josh bartell     defense  united states                    rome free academy (ny)
9     11        neil little  goaltender         canada                    rpi engineers ( ecac )
10    12         john parco      center         canada                  belleville bulls ( ohl )
11   sup  angelo libertucci  goaltender         canada              bowling green falcons (ccha)
12   sup      brendan locke  right wing  united states                 merrimack warriors ( he )
