        outcome  date                       tournament           partner          opponents in the final                     score in the final
0   runner - up  1970               stockholm , sweden     owen davidson          arthur ashe stan smith                  0 - 6 , 7 - 5 , 5 - 7
1        winner  1970         buenos aires , argentina       ray ruffels     željko franulović jan kodeš  7 - 5 , 6 - 2 , 5 - 7 , 6 - 7 , 6 - 3
2        winner  1971           auckland , new zealand       ray ruffels     brian fairlie raymond moore  6 - 3 , 6 - 7 , 6 - 4 , 4 - 6 , 6 - 3
3   runner - up  1971                tehran wct , iran       ray ruffels        john newcombe tony roche                  4 - 6 , 7 - 6 , 1 - 6
4   runner - up  1971              washington wct , us       ray ruffels         tom okker marty riessen                          6 - 7 , 2 - 6
5        winner  1971                south orange , us       tom leonard  clark graebner erik van dillen                  6 - 4 , 4 - 6 , 6 - 4
6        winner  1972             toronto wct , canada       ray ruffels           roy emerson rod laver                  6 - 4 , 4 - 6 , 6 - 4
7        winner  1972              quebec wct , canada       ray ruffels    john alexander terry addison                  4 - 6 , 6 - 3 , 7 - 5
8   runner - up  1972  johannesburg - 2 , south africa     terry addison       john newcombe fred stolle                          3 - 6 , 4 - 6
9   runner - up  1973                  nottingham , us     frew mcmillan      tom gorman erik van dillen                          4 - 6 , 1 - 6
10  runner - up  1973                  båstad , sweden     frew mcmillan         nikola pilić stan smith                  6 - 2 , 4 - 6 , 4 - 6
11  runner - up  1973               bretton woods , us     frew mcmillan           rod laver fred stolle                  6 - 7 , 6 - 4 , 5 - 7
12       winner  1973                  tanglewood , us     frew mcmillan  ismail el shafei brian fairlie                          6 - 3 , 6 - 4
13       winner  1973                indianapolis , us     frew mcmillan       manuel orantes ion ţiriac                          6 - 3 , 6 - 4
14  runner - up  1973                     seattle , us     frew mcmillan            tom gorman tom okker                  6 - 2 , 4 - 6 , 6 - 7
15       winner  1973             quebec city , canada     frew mcmillan     jimmy connors marty riessen                          6 - 2 , 7 - 6
16  runner - up  1973                   madrid , spain     frew mcmillan          ilie năstase tom okker                          3 - 6 , 0 - 6
17  runner - up  1973               stockholm , sweden     frew mcmillan      jimmy connors ilie năstase                  3 - 6 , 7 - 6 , 2 - 6
18  runner - up  1975      australian open , melbourne       allan stone        john alexander phil dent                          3 - 6 , 6 - 7
19       winner  1975           auckland , new zealand       ray ruffels        brian fairlie onny parun                            7 - 6 , ret
20  runner - up  1975                  denver wct , us       allan stone           roy emerson rod laver                  2 - 6 , 6 - 3 , 5 - 7
21  runner - up  1975                   las vegas , us    cliff drysdale        john alexander phil dent                          1 - 6 , 4 - 6
22  runner - up  1975                        hong kong        gene mayer          tom okker ken rosewall                          3 - 6 , 4 - 6
23  runner - up  1976             düsseldorf , germany     raymond moore        wojtek fibak karl meiler                  4 - 6 , 6 - 4 , 4 - 6
24  runner - up  1976                perth , australia  ismail el shafei     dick stockton roscoe tanner                  7 - 6 , 1 - 6 , 2 - 6
25       winner  1976            tokyo outdoor , japan      ken rosewall  ismail el shafei brian fairlie                          6 - 4 , 6 - 4
26       winner  1976                bangalore , india       ray ruffels   chiraid mukherjea bhanu nunna                          6 - 2 , 7 - 6
27  runner - up  1978                       miami , us     brian teacher        tom gullikson gene mayer                          6 - 7 , 3 - 6
28       winner  1978                  båstad , sweden    mark edmondson      péter szőke balázs taróczy                          7 - 5 , 6 - 4
29  runner - up  1978          hilversum , netherlands    mark edmondson        tom okker balázs taróczy                  6 - 7 , 6 - 4 , 5 - 7
30  runner - up  1978       sydney outdoor , australia          syd ball   hank pfister sherwood stewart                          4 - 6 , 4 - 6
31  runner - up  1979           washington indoor , us     brian teacher          robert lutz stan smith          4 - 6 , 5 - 7 , 6 - 3 , 6 - 7
32  runner - up  1979       stuttgart indoor , germany     brian teacher          wojtek fibak tom okker                  3 - 6 , 7 - 5 , 6 - 7
33  runner - up  1979           woodlands doubles , us     tim gullikson  marty riessen sherwood stewart                    3 - 6 , 2 - 2 , ret
