    rank            country  miss universe  1st runner - up  2nd runner - up  3rd runner - up  4th runner - up  semifinalists  total
0      1                usa              8                8                6                1                5             28     56
1      2          venezuela              6                6                6                4                2             14     38
2      3        puerto rico              5                1                2                1                3              7     19
3      4             sweden              3                1                2                3                4             16     29
4      5             brazil              2                5                1                2                4             17     31
5      6            finland              2                3                5                1                1              6     18
6      7        philippines              2                2                0                4                2              7     17
7      8          australia              2                1                3                2                2              6     16
8      9              japan              2                1                1                2                3              9     18
9     10              india              2                1                1                1                1             14     20
10    11             canada              2                1                1                1                0             11     16
11    12             mexico              2                0                1                2                2             10     17
12    13  trinidad & tobago              2                0                1                0                1              4      8
13    14           thailand              2                0                1                0                0              4      7
