     region                               host                                                  venue             city           state
0      east              ohio state university                                          st john arena         columbus            ohio
1      east            old dominion university                     old dominion university fieldhouse          norfolk        virginia
2      east    north carolina state university                                      reynolds coliseum          raleigh  north carolina
3      east      pennsylvania state university                         recreation building (rec hall)  university park    pennsylvania
4   mideast            university of tennessee                                stokely athletic center        knoxville       tennessee
5   mideast                university of texas                                     frank erwin center           austin           texas
6   mideast        western kentucky university                                        ea diddle arena    bowling green        kentucky
7   mideast          university of mississippi                                     tad smith coliseum       university     mississippi
8   midwest                  auburn university  memorial coliseum (beard - eaves - memorial coliseum)           auburn         alabama
9   midwest          louisiana tech university                                 thomas assembly center           ruston       louisiana
10  midwest     northeast louisiana university                                         ewing coliseum           monroe       louisiana
11  midwest  university of nevada at las vegas                                 thomas and mack center        las vegas          nevada
12     west              university of georgia                   georgia coliseum (stegeman coliseum)           athens         georgia
13     west                   long beach state                             university gym (gold mine)       long beach      california
14     west  university of southern california                      los angeles memorial sports arena      los angeles      california
15     west           university of washington                                 hec edmundson pavilion          seattle      washington
