                                    name                             type                     themed area           manufacturer                opened
0         australian animal presentation                      animal show  australian wildlife experience             dreamworld                  2009
1         australian sheep shearing show                      animal show  australian wildlife experience             dreamworld                  2010
2         australian wildlife experience                   animal exhibit  australian wildlife experience             dreamworld                  2001
3                      avis vintage cars    vintage cars ( ford model t )  australian wildlife experience     ford motor company                  1981
4                            big brother               television program              dreamworld studios  channel 9 and endemol  2001 - 2008 , 2012 -
5                      big red boat ride                      rockin' tug                   wiggles world               zamperla                  2012
6                       big red car ride                        dark ride                   wiggles world                simtech                  2005
7                                buzzsaw             steel roller coaster               town of gold rush           maurer söhne                  2011
8                               the claw                       gyro swing                    ocean parade                intamin                  2004
9                                cyclone             steel roller coaster                    ocean parade         arrow dynamics                  2001
10          dorothy 's rosy tea cup ride                          teacups                   wiggles world               sbf visa                  2006
11                     dreamworld cinema                    movie theatre                     main street           reald cinema                  2011
12                    dreamworld railway                          railway                     main street        baldwin / perry                  1981
13                        dronkey flyers        children 's rotating ride           dreamworks experience               sbf visa                  2000
14                escape from madagascar  suspended family roller coaster           dreamworks experience                 vekoma                  2002
15                             flowrider            sheet wave attraction                    ocean parade              wave loch                  2006
16                             game site                     video arcade                    ocean parade             dreamworld                  1983
17                        the giant drop                       drop tower                    rocky hollow                intamin                  1998
18                       gingy 's glider                       kite flyer           dreamworks experience               zamperla                  2008
19  illuminate light & laser spectacular    seasonal light and laser show                     main street            laservision                  2010
20    king julien 's theatre in the wild                       show arena           dreamworks experience             dreamworld                  2012
21                              the lair                   animal exhibit        adjacent to tiger island             dreamworld                  2011
22                        mad jungle jam                   ball play area           dreamworks experience             prime play                  2002
23            mick doohan 's motocoaster          launched roller coaster                       rivertown                intamin                  2007
24                           pandamonium                         air race           dreamworks experience               zamperla                  2012
25                            reef diver                       enterprise                    ocean parade                    sdc                  1983
26                    rock climbing wall                    climbing wall                    ocean parade                unknown                  2004
27             puss in boots sword swing                          swinger           dreamworks experience           chance rides                  1982
28                 rocky hollow log ride                        log flume                    rocky hollow             dreamworld                  1981
29                             shockwave                   disk'o coaster                    ocean parade               zamperla                  2011
30            shrek 's ogre - go - round                         carousel           dreamworks experience                ferrari                  1983
31                              skadoosh                          dodgems           dreamworks experience        bertazzon rides                  1983
32             thunder river rapids ride               river rafting ride               town of gold rush                intamin                  1986
33                          tiger island                   animal exhibit                    tiger island             dreamworld                  1995
34                    tower of terror ii           shuttle roller coaster                       rivertown                intamin                  1997
35                  v8 supercars redline                 racing simulator                    ocean parade             dreamworld                  2008
36                               wipeout          waikiki wave super flip                    ocean parade                 vekoma                  1993
37                      zombie evilution                        laser tag                    ocean parade          sudden impact                  2013
