     res   record                  opponent                           method                               event  round   time                                    location
0   loss  19 - 11             lyoto machida                  ko (crane kick)                             ufc 129      2   1:05                  toronto , ontario , canada
1    win  19 - 10               james toney  submission (arm triangle choke)                             ufc 118      1   3:19      boston , massachusetts , united states
2    win  18 - 10              mark coleman    submission (rear naked choke)                             ufc 109      2   1:09          las vegas , nevada , united states
3    win  17 - 10              brandon vera             decision (unanimous)                             ufc 105      3   5:00                 manchester , united kingdom
4   loss  16 - 10  antônio rodrigo nogueira             decision (unanimous)                             ufc 102      3   5:00           portland , oregon , united states
5   loss   16 - 9              brock lesnar                    tko (punches)                              ufc 91      2   3:07          las vegas , nevada , united states
6    win   16 - 8           gabriel gonzaga                    tko (punches)                              ufc 74      3   1:37          las vegas , nevada , united states
7    win   15 - 8                tim sylvia             decision (unanimous)                              ufc 68      5   5:00             columbus , ohio , united states
8   loss   14 - 8             chuck liddell                     ko (punches)                              ufc 57      2   1:28          las vegas , nevada , united states
9    win   14 - 7          mike van arsdale      submission (anaconda choke)                              ufc 54      3   0:52          las vegas , nevada , united states
10  loss   13 - 7             chuck liddell                     ko (punches)                              ufc 52      1   2:06          las vegas , nevada , united states
11   win   13 - 6             vitor belfort            tko (doctor stoppage)                              ufc 49      3   5:00          las vegas , nevada , united states
12  loss   12 - 6             vitor belfort                        tko (cut)                              ufc 46      1   0:49          las vegas , nevada , united states
13   win   12 - 5                tito ortiz             decision (unanimous)                              ufc 44      5   5:00          las vegas , nevada , united states
14   win   11 - 5             chuck liddell                    tko (punches)                              ufc 43      3   2:40          las vegas , nevada , united states
15  loss   10 - 5           ricco rodriguez               submission (elbow)                              ufc 39      5   3:04     montville , connecticut , united states
16  loss   10 - 4              josh barnett                    tko (punches)                              ufc 36      2   4:35          las vegas , nevada , united states
17   win   10 - 3               pedro rizzo                    tko (punches)                              ufc 34      3   1:38          las vegas , nevada , united states
18   win    9 - 3               pedro rizzo             decision (unanimous)                              ufc 31      5   5:00  atlantic city , new jersey , united states
19  loss    8 - 3         valentijn overeem    submission (guillotine choke)    rings : king of kings 2000 final      1   0:56                               tokyo , japan
20   win    8 - 2          tsuyoshi kohsaka             decision (unanimous)    rings : king of kings 2000 final      2   5:00                               tokyo , japan
21   win    7 - 2           kevin randleman                    tko (punches)                              ufc 28      3   4:13  atlantic city , new jersey , united states
22   win    6 - 2         ryushi yanagisawa              decision (majority)  rings : king of kings 2000 block a      2   5:00                               tokyo , japan
23   win    5 - 2               jeremy horn             decision (unanimous)  rings : king of kings 2000 block a      3   5:00                               tokyo , japan
24  loss    4 - 2          mikhail ilyukhin              submission (kimura)                    rings : rise 1st      1   7:43                                       japan
25  loss    4 - 1               enson inoue              submission (armbar)                vale tudo japan 1998      1   1:39                                       japan
26   win    4 - 0             maurice smith              decision (majority)                           ufc japan      1  21:00                 yokohama , kanagawa , japan
27   win    3 - 0             vitor belfort                    tko (punches)                              ufc 15      1   8:17  bay st louis , mississippi , united states
28   win    2 - 0             steven graham                    tko (punches)                              ufc 13      1   3:13           augusta , georgia , united states
29   win    1 - 0                tony halme    submission (rear naked choke)                              ufc 13      1   1:00           augusta , georgia , united states
