                   club  total points  bonus points  match points  games  drawn  lost  points for  points against   diff
0                  club  total points  bonus points  match points  games  drawn  lost  points for  points against   diff
1          racing métro           107            11            96     30      0     6         754             469  + 285
2                  agen            94            10            84     30      0     9         799             543  + 256
3                  albi            87             7            80     30      2     9         569             493   + 76
4           la rochelle            87            15            72     30      0    12         647             499  + 148
5               oyonnax            85            11            74     30      1    11         605             438  + 167
6                  lyon            84            14            72     30      1    12         600             448  + 152
7                tarbes            73            11            62     30      1    14         602             534   + 68
8                   pau            72            10            62     30      1    14         523             507   + 16
9              aurillac            72             6            66     30      1    13         615             653     38
10             grenoble            60            14            46     30      1    18         416             469     53
11    bordeaux - bègles            60             8            52     30      0    17         591             639     48
12                 auch            53             9            44     30      0    19         416             533    117
13             narbonne            49             7            42     30      3    18         494             672    178
14            colomiers            47             7            40     30      2    19         541             679    138
15  bourg - en - bresse            43             9            34     30      1    21         507             813    306
16              béziers            41             5            36     30      2    20         465             755    290
