     res  record           opponent                                     method                                          event  round   time                                  location
0   loss  17 - 6     mikhail zayats                        submission (kimura)                                   bellator 103      1   0:47          mulvane , kansas , united states
1   loss  17 - 5    james te - huna                              tko (punches)                  ufc on fx : alves vs kampmann      1   2:08                        sydney , australia
2    win  17 - 4         matt lucas                        decision (majority)           ufc on fox : velasquez vs dos santos      3   5:00      anaheim , california , united states
3   loss  16 - 4       joey beltran                              tko (punches)                                        ufc 131      3   1:26     vancouver , british columbia , canada
4    win  16 - 3         abe wagner            submission (rear - naked choke)                    titan fc 17: lashley vs ott      2   0:35      kansas city , kansas , united states
5    win  15 - 3         devin cole                       decision (unanimous)                                shark fights 13      3   5:00          amarillo , texas , united states
6    win  14 - 3          jay peche                              tko (punches)                               abg : promotions      1   4:47       san antonio , texas , united states
7    win  13 - 3    robert villegas                       decision (unanimous)                                    bellator 20      3   5:00       san antonio , texas , united states
8   loss  12 - 3  rafael cavalcante                              tko (punches)     strikeforce challengers : woodley vs bears      2   3:25      kansas city , kansas , united states
9    win  12 - 2       anthony ruiz  technical submission (rear - naked choke)  strikeforce challengers : evangelista vs aina      1   4:29       fresno , california , united states
10   win  11 - 2         ron fields                              tko (punches)               adrenaline mma : guida vs russow      2   0:34        chicago , illinois , united states
11  loss  10 - 2     jaime fletcher                       decision (unanimous)                                          shoxc      3   5:00   santa ynez , california , united states
12  loss  10 - 1       jared hamman            submission (rear - naked choke)                                          shoxc      2   1:46   santa ynez , california , united states
13   win  10 - 0    jefferson silva                      tko (doctor stoppage)                                          shoxc      1   5:00   santa ynez , california , united states
14   win   9 - 0        matt thomas                           decision (split)                          world cage fighting 1      3   3:00  southhaven , mississippi , united states
15   win   8 - 0       corey salter                              tko (punches)               jjl promotions : sudden impact 1      3   0:10       san antonio , texas , united states
16   win   7 - 0      jesse vasquez                              tko (punches)                     renegades extreme fighting      2   0:10           houston , texas , united states
17   win   6 - 0    anthony trotter                              tko (punches)                    nle : ultimate fright night      2  n / a  bossier city , louisiana , united states
18   win   5 - 0       robert masko                       decision (unanimous)                     renegades extreme fighting      4   5:00           houston , texas , united states
19   win   4 - 0       lance ramoth            submission (rear - naked choke)                     renegades extreme fighting      4   0:28           houston , texas , united states
20   win   3 - 0     patrick miller            submission (rear - naked choke)                     renegades extreme fighting      1   0:44           houston , texas , united states
21   win   2 - 0      matt thompson                       decision (unanimous)                     renegades extreme fighting      3   5:00            austin , texas , united states
22   win   1 - 0     shane faulkner                       decision (unanimous)                     renegades extreme fighting      3   5:00           houston , texas , united states
