     res  record            opponent                           method                                  event  round  time                                     location
0   loss  14 - 6            kj noons             decision (unanimous)                                ufc 166      3  5:00              houston , texas , united states
1   loss  14 - 5        ross pearson                    tko (punches)    ufc on fx : sotiropoulos vs pearson      3  0:41          gold coast , queensland , australia
2   loss  14 - 4    rafael dos anjos                       ko (punch)                                ufc 132      1  0:59           las vegas , nevada , united states
3   loss  14 - 3        dennis siver             decision (unanimous)                                ufc 127      3  5:00         sydney , new south wales , australia
4    win  14 - 2          joe lauzon              submission (kimura)                                ufc 123      2  2:43      auburn hills , michigan , united states
5    win  13 - 2     kurt pellegrino             decision (unanimous)                                ufc 116      3  5:00           las vegas , nevada , united states
6    win  12 - 2       joe stevenson             decision (unanimous)                                ufc 110      3  5:00         sydney , new south wales , australia
7    win  11 - 2          jason dent              submission (armbar)                                ufc 106      2  4:35           las vegas , nevada , united states
8    win  10 - 2         george roop              submission (kimura)                                ufc 101      2  1:59  philadelphia , pennsylvania , united states
9    win   9 - 2     roman mitichyan                    tko (punches)    ufc fight night : florian vs lauzon      2  2:24        broomfield , colorado , united states
10   win   8 - 2         billy miles  submission (rear - naked choke)                           tuf 6 finale      1  1:36           las vegas , nevada , united states
11   win   7 - 2       jung hwan cha              submission (armbar)                 spirit mc 11: invasion      2  3:27                          seoul , south korea
12  loss   6 - 2         shinya aoki                dq (groin strike)                                 shooto      2  0:05                             yokohama , japan
13   win   6 - 1    shigetoshi iwase             decision (unanimous)             kokoro : kill or be killed      2  5:00                                tokyo , japan
14   win   5 - 1           kyle noke             decision (unanimous)                       warriors realm 5      5  5:00         sydney , new south wales , australia
15   win   4 - 1     sergio lourenco             decision (unanimous)                      ffcf 5: unleashed      3  5:00                              mangilao , guam
16  loss   3 - 1           kyle noke                 decision (split)                       warriors realm 4      3  5:00         sydney , new south wales , australia
17   win   3 - 0  marcio bittencourt  submission (rear - naked choke)  k - 1 challenge 2004 oceania vs world      1  3:30          gold coast , queensland , australia
18   win   2 - 0        kelly jacobs              submission (armbar)                       warriors realm 2      1  4:12           southport , queensland , australia
19   win   1 - 0         gavin murie              submission (armbar)       xfc 6: ultimate fighting returns      1  1:28           southport , queensland , australia
