                       track             city       state       opened                major series                turns
0                  baltimore        baltimore    maryland         2011              indycar , alms                   15
1              bayfront park            miami     florida  1983 , 2002       imsa gt , cart , alms             15 11 10
2          bicentennial park            miami     florida  1986 , 1995              imsa gt , cart                   11
3                 belle isle          detroit    michigan         1992           cart , irl , alms                   14
4             caesars palace        las vegas      nevada         1981                   f1 , cart                 14 5
5                  cleveland        cleveland        ohio         1982                        cart                 11 9
6                   columbus         columbus        ohio         1985                     imsa gt                    9
7                     dallas           dallas       texas         1984   f1 , trans - am , imsa gt           15 9 12 10
8              daytona beach    daytona beach     florida         1903                      nascar                    4
9                     denver           denver    colorado  1990 , 2002                        cart                16 11
10                   del mar          del mar  california         1987                     imsa gt                   17
11                des moines       des moines        iowa         1989                  trans - am                   12
12                   detroit          detroit    michigan         1982                   f1 , cart                   18
13                   houston          houston       texas         1998                        cart                    9
14                 las vegas        las vegas      nevada         2007                   champ car                   12
15                long beach       long beach  california         1975  f1 , indycar series , alms  12 15 15 12 9 12 10
16               meadowlands  east rutherford  new jersey         1984                        cart                 14 5
17                 minnesota      minneapolis   minnesota         1996          trans - am , usrrc                   13
18               new orleans      new orleans   louisiana         1991                     imsa gt                10 10
19                   phoenix          phoenix     arizona         1989                          f1                13 12
20              reliant park          houston       texas         2006            alms , champ car                    9
21  robert f kennedy stadium       washington          dc         2002                        alms                    7
22             st petersburg    st petersburg     florida  1985 , 2003              indycar series               8 8 12
23               san antonio      san antonio       texas         1987                     imsa gt                    9
24                  san jose         san jose  california         2005                   champ car                    7
25              tamiami park  university park     florida         1985                        cart                   10
26                     tampa            tampa     florida         1989                        cart                   10
27             west michigan     grand rapids    michigan         1998                  trans - am                   13
28           west palm beach  west palm beach     florida         1986                     imsa gt                   10
