    tie no                 home team  score                 away team             date
0        1                 blackpool  1 - 0                   burnley   3 january 1976
1        2               southampton  1 - 1               aston villa   3 january 1976
2   replay               aston villa  1 - 2               southampton   7 january 1976
3        3            leicester city  3 - 0          sheffield united   3 january 1976
4        4              notts county  0 - 1              leeds united   3 january 1976
5        5         nottingham forest  0 - 0       peterborough united   1 january 1976
6   replay       peterborough united  1 - 0         nottingham forest   7 january 1976
7        6   wolverhampton wanderers  3 - 0                   arsenal   3 january 1976
8        7             middlesbrough  0 - 0                      bury   3 january 1976
9   replay                      bury  3 - 2             middlesbrough   6 january 1976
10       8      west bromwich albion  3 - 1           carlisle united   3 january 1976
11       9                sunderland  2 - 0           oldham athletic   3 january 1976
12      10              derby county  2 - 1                   everton   3 january 1976
13      11                luton town  2 - 0          blackburn rovers   3 january 1976
14      12              swindon town  2 - 2  tooting & mitcham united   3 january 1976
15  replay  tooting & mitcham united  2 - 1              swindon town   6 january 1976
16      13               scarborough  1 - 2            crystal palace   3 january 1976
17      14           shrewsbury town  1 - 2             bradford city   3 january 1976
18      15              ipswich town  3 - 1              halifax town   3 january 1976
19      16         tottenham hotspur  1 - 1                stoke city   3 january 1976
20  replay                stoke city  2 - 1         tottenham hotspur  24 january 1976
21      17           manchester city  6 - 0                hartlepool   3 january 1976
22      18       queens park rangers  0 - 0          newcastle united   3 january 1976
23  replay          newcastle united  2 - 1       queens park rangers   7 january 1976
24      19                    fulham  2 - 3         huddersfield town   3 january 1976
25      20                 brentford  0 - 0          bolton wanderers   3 january 1976
26  replay          bolton wanderers  2 - 0                 brentford   6 january 1976
27      21             coventry city  2 - 1              bristol city   3 january 1976
28      22                portsmouth  1 - 1           birmingham city   3 january 1976
29  replay           birmingham city  0 - 1                portsmouth   6 january 1976
30      23           west ham united  0 - 2                 liverpool   3 january 1976
31      24         manchester united  2 - 1             oxford united   3 january 1976
32      25              norwich city  1 - 1                  rochdale   3 january 1976
33  replay                  rochdale  0 - 0              norwich city   6 january 1976
34  replay              norwich city  2 - 1                  rochdale  13 january 1976
35      26                 hull city  1 - 1           plymouth argyle   3 january 1976
36  replay           plymouth argyle  1 - 4                 hull city   6 january 1976
37      27                   chelsea  1 - 1            bristol rovers   1 january 1976
38  replay            bristol rovers  0 - 1                   chelsea   3 january 1976
39      28           southend united  2 - 1    brighton & hove albion   3 january 1976
40      29         charlton athletic  2 - 1       sheffield wednesday   3 january 1976
41      30                 york city  2 - 1           hereford united   3 january 1976
42      31                 aldershot  1 - 2              lincoln city   3 january 1976
43      32                    orient  0 - 1              cardiff city   3 january 1976
