            date                              event                        winner                               team              series leader
0    february 24                   tour du haut var       davide rebellin ( ita )                       gerolsteiner  rinaldo nocentini ( ita )
1       march 23             cholet - pays de loire          janek tombak ( est )               mitsubishi - jartazi  rinaldo nocentini ( ita )
2        april 6               grand prix de rennes     mikhaylo khalilov ( ukr )  ceramica flaminia - bossini docce       jimmy casper ( fra )
3       april 15                  paris - camembert    alejandro valverde ( esp )                   caisse d'epargne      jérôme pineau ( fra )
4       april 17               grand prix de denain  edvald boasson hagen ( nor )                     team high road       jimmy casper ( fra )
5       april 19                  tour du finistère           david lelay ( fra )               bretagne - armor lux       jimmy casper ( fra )
6       april 20                     tro - bro léon      frédéric guesdon ( fra )                 française des jeux       jimmy casper ( fra )
7          may 4              trophée des grimpeurs           david lelay ( fra )               bretagne - armor lux        david lelay ( fra )
8         may 31  grand prix de plumelec - morbihan       thomas voeckler ( fra )                   bouygues télécom        david lelay ( fra )
9       august 3                       polynormande         arnaud gérard ( fra )                 française des jeux      jérôme pineau ( fra )
10     august 31                 chteauroux classic        anthony ravard ( fra )                          agritubel      jérôme pineau ( fra )
11  september 21             grand prix d'isbergues        william bonnet ( fra )                    crédit agricole      jérôme pineau ( fra )
12     october 5                     tour de vendée       koldo fernández ( esp )                euskaltel - euskadi      jérôme pineau ( fra )
13     october 9                    paris - bourges        bernhard eisel ( aut )                      team columbia      jérôme pineau ( fra )
