     rank         nation  gold  silver  bronze  total
0       1         russia     5       3       3     11
1       2          japan     3       1       0      4
2       3         sweden     2       2       2      6
3       4        ukraine     2       0       3      5
4       5           iran     1       2       3      6
5       6           cuba     1       2       2      5
6       7        georgia     1       1       1      3
7       7  united states     1       1       1      3
8       9       bulgaria     1       0       1      2
9       9         turkey     1       0       1      2
10     11        armenia     1       0       0      1
11     11        germany     1       0       0      1
12     11         greece     1       0       0      1
13     14     azerbaijan     0       2       0      2
14     15          egypt     0       1       1      2
15     15         poland     0       1       1      2
16     17          china     0       1       0      1
17     17         france     0       1       0      1
18     17        hungary     0       1       0      1
19     17       mongolia     0       1       0      1
20     17   turkmenistan     0       1       0      1
21     22         norway     0       0       1      1
22     22    puerto rico     0       0       1      1
23  total          total    21      21      21     63
