     rank                nation  gold  silver  bronze  total
0       1          soviet union     6       4       1     11
1       2                turkey     3       1       5      9
2       3                 japan     2       2       1      5
3       4                  iran     2       2       0      4
4       5               hungary     2       0       1      3
5       6              bulgaria     1       4       0      5
6       7                 italy     0       1       1      2
7       8               denmark     0       1       0      1
8       8            yugoslavia     0       1       0      1
9      10         united states     0       0       3      3
10     10          west germany     0       0       3      3
11     12  united arab republic     0       0       1      1
12  total                 total    16      16      16     48
