        outcome               date     surface                 opponent                                        score
0   runner - up    5 february 2007  carpet (i)     gabriela navrátilová                      cara black liezel huber
1   runner - up       3 march 2007        hard             ágnes szávay               martina hingis maria kirilenko
2        winner      23 april 2007        clay             ágnes szávay          martina müller gabriela navrátilová
3   runner - up       23 july 2007        clay             ágnes szávay               lucie hradecká renata voráčová
4   runner - up   10 february 2008        hard             eva hrdinová         alona bondarenko kateryna bondarenko
5        winner      13 april 2008        clay  bethanie mattek - sands              victoria azarenka elena vesnina
6   runner - up       27 july 2008        hard             eva hrdinová           chan yung - jan chuang chia - jung
7        winner       25 july 2009        hard             julia görges                 camille pin klára zakopalová
8   runner - up    25 october 2009        hard          renata voráčová  iveta benešová barbora záhlavová - strýcová
9        winner       24 july 2010        hard        maria kondratieva             anna chakvetadze marina erakovic
10  runner - up       31 july 2010        hard        maria kondratieva                 eleni daniilidou jasmin wöhr
11  runner - up  26 september 2010        hard          natalie grandin                   julia görges polona hercog
12  runner - up      25 april 2011        clay          natalie grandin  iveta benešová barbora záhlavová - strýcová
13  runner - up        21 may 2011        clay          natalie grandin        akgul amanmuradova chuang chia - jung
14  runner - up       10 july 2011        clay          natalie grandin      anabel medina garrigues alicja rosolska
15  runner - up     21 august 2011        hard          natalie grandin                vania king yaroslava shvedova
16       winner  25 september 2011        hard          natalie grandin             vera dushevina galina voskoboeva
17  runner - up        26 may 2012        clay          natalie grandin       olga govortsova klaudia jans - ignacik
