   draw                   singer                       song  points  place
0     1              vnia maroti                 start stop      33     10
1     2                  tó leal                   eu mesmo      42      8
2     3         patricia antunes         canto em português      91      2
3     4             barbara reis               a minha ilha      43      7
4     5                   elaisa                 ai a noite      49      6
5     6                  somseis            a canção da paz      76      3
6     7  cristina castro pereira             ganhamos o ceu      63      4
7     8              lúcia moniz  o meu coração não tem cor      95      1
8     9            pedro miguéis         prazer em conhecer      54      5
9    10            joão portugal                  top model      34      9
