                    driver              constructor  laps  time / retired  grid
0           jackie stewart           tyrrell - ford    68       1:31:31.5     2
1          ronnie peterson             march - ford    68          + 36.1     5
2       emerson fittipaldi             lotus - ford    68          + 50.5     4
3          henri pescarolo             march - ford    67         + 1 lap    17
4           rolf stommelen           surtees - ford    67         + 1 lap    12
5             john surtees           surtees - ford    67         + 1 lap    18
6   jean - pierre beltoise                    matra    66        + 2 laps    15
7            howden ganley                      brm    66        + 2 laps    11
8               jo siffert                      brm    66        + 2 laps     3
9         franã§ois cevert           tyrrell - ford    65        + 3 laps    10
10             nanni galli             march - ford    65        + 3 laps    21
11            tim schenken           brabham - ford    63         gearbox     7
12            reine wisell  lotus - pratt & whitney    57  not classified    19
13       andrea de adamich       march - alfa romeo    56  not classified    24
14            peter gethin           mclaren - ford    53          engine    14
15              jacky ickx                  ferrari    51          engine     6
16          clay regazzoni                  ferrari    48    oil pressure     1
17              chris amon                    matra    35          engine     9
18             denny hulme           mclaren - ford    32          engine     8
19              derek bell           surtees - ford    23      suspension    23
20           mike beuttler             march - ford    21    oil pressure    20
21           dave charlton             lotus - ford     1          engine    13
22             graham hill           brabham - ford     0        accident    22
23           jackie oliver           mclaren - ford     0        accident    16
