     res       record           opponent                         method                                    event  round   time                               location
0   loss  26 - 12 - 1      igor pokrajac                   ko (punches)                                  ufc 140      1   0:35             toronto , ontario , canada
1    win  26 - 11 - 1     mike massenzio           decision (unanimous)                                  ufc 131      3   5:00  vancouver , british columbia , canada
2    win  25 - 11 - 1       goran reljić           decision (unanimous)                                  ufc 122      3   5:00                   oberhausen , germany
3   loss  24 - 11 - 1     stephan bonnar         tko (knee and punches)                                  ufc 116      2   3:08     las vegas , nevada , united states
4    win  24 - 10 - 1     stephan bonnar                      tko (cut)                                  ufc 110      3   1:04                     sydney , australia
5   loss  23 - 10 - 1       brandon vera           decision (unanimous)                                  ufc 102      3   5:00      portland , oregon , united states
6    win   23 - 9 - 1       andré gusmão                   ko (punches)                                   ufc 98      1   3:17     las vegas , nevada , united states
7    win   22 - 9 - 1        brian stann            submission (kimura)                                   ufc 97      1   3:53             montreal , quebec , canada
8    win   21 - 9 - 1        shane primm            submission (kimura)                             tuf 8 finale      2   3:27     las vegas , nevada , united states
9    win   20 - 9 - 1       marcus hicks            submission (kimura)                 ucw 11: hell in the cage      1  n / a           winnipeg , manitoba , canada
10   win   19 - 9 - 1       alex andrade                 dq (low blows)                        ring of combat 18      2   4:46             new jersey , united states
11   win   18 - 9 - 1    robert villegas          dq (refusal to fight)          hdnet fights : reckless abandon      2   3:15                  texas , united states
12  loss   17 - 9 - 1       ben rothwell                  tko (strikes)                    ifl : 2007 semifinals      1   0:13             new jersey , united states
13  loss   17 - 8 - 1         reese andy               decision (split)                            ifl : everett      3   4:00   everett , washington , united states
14   win   17 - 7 - 1     dan christison           decision (unanimous)                        ifl : los angeles      3   4:00             california , united states
15  loss   16 - 7 - 1     mike whitehead           decision (unanimous)                 ifl : championship final      3   4:00            connecticut , united states
16   win   16 - 6 - 1         devin cole            submission (armbar)      ifl : world championship semifinals      2   1:14                 oregon , united states
17   win   15 - 6 - 1       icho larenas          tko (doctor stoppage)                    tko 27: reincarnation      3   0:00             montreal , quebec , canada
18   win   14 - 6 - 1         tom howard                  tko (strikes)                           ifl : portland      1   3:47      portland , oregon , united states
19   win   13 - 6 - 1       yan pellerin            submission (kimura)                         tko 26: heatwave      1   1:30                        quebec , canada
20  loss   12 - 6 - 1       ben rothwell                  tko (strikes)          ifl : legends championship 2006      1   3:59             new jersey , united states
21  draw   12 - 5 - 1          mike kyle                 technical draw         strikeforce : shamrock vs gracie      1   2:02             california , united states
22  loss       12 - 5       brian schall                  tko (strikes)                         tko 24: eruption      3   3:00                        quebec , canada
23  loss       12 - 4    martin desilets          tko (doctor stoppage)                          tko 23: extreme      2   1:30                        quebec , canada
24  loss       12 - 3       matt horwich  submission (rear naked choke)            freedom fight : canada vs usa      2   0:52                        quebec , canada
25   win       12 - 2         ron fields            submission (armbar)                     ucw 2: caged inferno      1   2:25           winnipeg , manitoba , canada
26   win       11 - 2          jason day                  tko (punches)                rr 8 - roadhouse rumble 8      1   2:08          lethbridge , alberta , canada
27   win       10 - 2        troy hadley                  tko (punches)                        nfa : super brawl      1  n / a           north dakota , united states
28   win        9 - 2        chris thiel                   ko (punches)                     ultimate cage wars 1      1  n / a           winnipeg , manitoba , canada
29   win        8 - 2        wyatt lewis                   ko (punches)              ritr 1 - rage in the ring 1      1  n / a          lethbridge , alberta , canada
30   win        7 - 2           lee mein           submission (strikes)               wff 7: professional shooto      2   2:06  vancouver , british columbia , canada
31  loss        6 - 2  chris tuchscherer           decision (unanimous)                           nfa : moorhead      3   3:00              minnesota , united states
32   win        6 - 1       dennis stull                  tko (punches)                           icc - trials 2      1  n / a              minnesota , united states
33   win        5 - 1        jack burton  submission (rear naked choke)                           icc - trials 2      1  n / a              minnesota , united states
34   win        4 - 1   matt lafromboise           submission (punches)  dfc 1 - dakota fighting championships 1      1   1:14           north dakota , united states
35   win        3 - 1         kyle olsen        submission (exhaustion)                   nfa : best damn fights      1   4:55           north dakota , united states
36   win        2 - 1       ben konecnec                  tko (punches)                    ifa : ultimate trials      1   0:26                   iowa , united states
37  loss        1 - 1          jason day           decision (unanimous)                rr 8 - roadhouse rumble 8      2   5:00          lethbridge , alberta , canada
38   win        1 - 0   matt lafromboise           submission (strikes)                    absolute ada fights 4      1   3:23              minnesota , united states
