                            index                          organization      year  rank  out of
0              bribe payers index            transparency international      2011    19      28
1    corruption perceptions index            transparency international      2012    37     176
2                 democracy index           economist intelligence unit      2010    36     167
3    ease of doing business index                            world bank      2012    16     185
4          economic freedom index                      fraser institute      2010    15     144
5          economic freedom index               the heritage foundation      2013    20     177
6   global competitiveness report                  world economic forum  20122013    13     144
7              global peace index     institute for economics and peace      2011    27     153
8             globalization index  at kearney / foreign policy magazine      2006    35      62
9             press freedom index             reporters without borders      2013    47     179
10          property rights index              property rights alliance      2008    28     115
