     res       record           opponent                                     method  round   time                                  location
0   loss  23 - 10 - 2          nick diaz                              tko (punches)      2   3:57     san jose , california , united states
1   loss   23 - 9 - 2            cung le                               tko (injury)      3   5:00     san jose , california , united states
2    win   23 - 8 - 2        phil baroni  technical submission (rear - naked choke)      2   4:00     san jose , california , united states
3   loss   22 - 8 - 2       renzo gracie              dq (knees to downed opponent)      2   2:00   southaven , mississippi , united states
4    win   22 - 7 - 2       cesar gracie                               ko (punches)      1   0:20     san jose , california , united states
5    win   21 - 7 - 2       bryan pardoe                        submission (armbar)      1   1:46      lemoore , california , united states
6    win   20 - 7 - 2      elvis sinosic                           decision (split)      5   3:00                             tokyo , japan
7    win   19 - 7 - 2         tito ortiz             submission (elbow and punches)      4   4:42  lake charles , louisiana , united states
8   draw   18 - 7 - 2     kiyoshi tamura                                       draw      1  20:00                                     japan
9    win   18 - 7 - 1         john lober                       submission (punches)      1   7:40                        sao paulo , brazil
10   win   17 - 7 - 1        jeremy horn                       submission (kneebar)      1  16:28          mobile , alabama , united states
11   win   16 - 7 - 1      igor zinoviev                                  ko (slam)      1   0:22   new orleans , louisiana , united states
12   win   15 - 7 - 1      kevin jackson                        submission (armbar)      1   0:16                          yokohama , japan
13   win   14 - 7 - 1        enson inoue                              tko (punches)      2   7:17                             tokyo , japan
14   win   13 - 7 - 1       wes gassaway                               ko (punches)      1  11:54                     texas , united states
15   win   12 - 7 - 1   tsuyoshi kohsaka                       decision (unanimous)      1  30:00                                     japan
16  loss   11 - 7 - 1         john lober                 technical decision (split)      1  30:00                  honolulu , united states
17  loss   11 - 6 - 1      kiuma kunioku                       decision (unanimous)      1  20:00                             tokyo , japan
18  loss   11 - 5 - 1         yuki kondo                             ko (head kick)      1  12:43                             chiba , japan
19   win   11 - 4 - 1      manabu yamada              submission (rear naked choke)      1  12:44                             tokyo , japan
20  loss   10 - 4 - 1         bas rutten                      tko (doctor stoppage)      1  11:11                             tokyo , japan
21   win   10 - 3 - 1      osami shibuya                       decision (unanimous)      1  15:00                             tokyo , japan
22   win    9 - 3 - 1  ryushi yanagisawa                       decision (unanimous)      1  20:00                              kobe , japan
23   win    8 - 3 - 1      minoru suzuki                       submission (kneebar)      1  22:53                          yokohama , japan
24   win    7 - 3 - 1       vernon white                 submission (achilles lock)      1   5:23                           sapporo , japan
25   win    6 - 3 - 1   masakatsu funaki                       submission (toehold)      1  10:31                          yokohama , japan
26   win    5 - 3 - 1       takafumi ito            submission (rear - naked choke)      1   7:23                             tokyo , japan
27  loss    4 - 3 - 1         bas rutten                           decision (split)      1  15:00                             tokyo , japan
28   win    4 - 2 - 1        takaku fuke            submission (rear - naked choke)      1   8:16                sapporo , hokkaido , japan
29  draw    3 - 2 - 1         allan goes                                       draw      1  10:00                     chiba , chiba , japan
30   win        3 - 2      minoru suzuki                               ko (punches)      1   3:23                            nagoya , japan
31  loss        2 - 2   masakatsu funaki                       submission (toehold)      1   5:11               yokohama , kanagawa , japan
32   win        2 - 1   katsuomi inagaki                        submission (armbar)      1   6:14                    nagoya , aichi , japan
33  loss        1 - 1      manabu yamada                 submission (achilles lock)      1   8:38                             tokyo , japan
34   win        1 - 0         bas rutten                        decision (majority)      1  10:00                             tokyo , japan
