                           tournament                               2007                               2008                               2009                               2010                               2011                               2012
0                     australian open                                  a                                  a                                 q2                                 q1                                 2r                                 1r
1                         french open                                  a                                  a                                 2r                                 q2                                 3r                                 4r
2                           wimbledon                                  a                                  a                                 q1                                 1r                                 q2                                 3r
3                             us open                                  a                                  a                                 1r                                 q2                                 2r                                 1r
4                          win - loss                              0 - 0                              0 - 0                              1 - 2                              0 - 1                              4 - 3                              5 - 4
5   wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments
6                        indian wells                                  a                                  a                                  a                                 q2                                 q1                                 1r
7                               miami                                  a                                  a                                 1r                                 1r                                 1r                                 q2
8                              madrid                           not held                           not held                                  a                                  a                                 1r                                  a
9                             beijing                            tier ii                            tier ii                                  a                                  a                                  a                                  a
10          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments
11                              dubai                            tier ii                            tier ii                                  a                                  a                                  a                            premier
12                               doha                               t ii                                  a                           not held                           not held                                  p                                 q1
13                               rome                                  a                                  a                                  a                                  a                                  a                                  a
14                             canada                                  a                                  a                                  a                                 q2                                  a                                 1r
15                         cincinnati                                  a                                  a                                  a                                  a                                  a                                 q1
16                              tokyo                                  a                                  a                                  a                                  a                                 1r                                  a
17                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics
18                   year end ranking                                465                                188                                107                                138                                 84                                 68
