                     tournament                         2008                         2009                         2010                         2011                         2012
0        grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments
1               australian open                           q1                           q1                           q2                           1r                           2r
2                   french open                           q2                           q1                           2r                           2r                           1r
3                     wimbledon                           1r                           q2                           3r                           2r                           1r
4                       us open                           q3                           q1                           1r                           1r                           1r
5                    win - loss                        0 - 1                        0 - 0                        3 - 3                        2 - 4                        1 - 4
6   atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000
7          indian wells masters                            a                            a                            a                           1r                           1r
8                 miami masters                            a                            a                            a                           1r                           1r
9           monte carlo masters                            a                            a                            a                           q2                           q1
10                 rome masters                            a                            a                            a                            a                            a
11               madrid masters                            a                            a                            a                            a                            a
12               canada masters                            a                            a                            a                           1r                            a
13           cincinnati masters                            a                            a                            a                            a                            a
14             shanghai masters                          nms                            a                            a                            a                            a
15                paris masters                            a                            a                           q1                            a                            a
16                   win - loss                        0 - 0                        0 - 0                        0 - 0                        0 - 3                        0 - 2
17            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics
18              titles - finals                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0
19           year - end ranking                          243                          254                           67                           96                           98
