        outcome                         tournament     surface                  opponent                           score
0        winner  north miami beach , florida , usa        hard                 todd paul  4 - 6 , 7 - 6 (10 - 8) , 6 - 2
1   runner - up                        vic , spain        clay  javier genaro - martinez                   4 - 6 , 5 - 7
2        winner                    minsk , belarus        hard            deniss pavlovs               6 - 1 , 2 - 0 ret
3   runner - up            harlingen , texas , usa        hard              jesse witten                   5 - 7 , 4 - 6
4        winner                  koszalin , poland        clay             marcin gawron           6 - 1 , 4 - 6 , 6 - 2
5   runner - up                  novi sad , serbia        clay               dejan katic           6 - 3 , 3 - 6 , 2 - 6
6        winner                   olsztyn , poland        clay             marcin gawron                   6 - 1 , 6 - 3
7        winner                  istanbul , turkey        hard           denys molchanov                   6 - 2 , 6 - 2
8        winner                     martos , spain        hard   roberto bautista - agut   6 - 1 , 3 - 6 , 7 - 6 (7 - 3)
9        winner             dunlop world challenge  carpet (i)               tatsuma ito   7 - 6 (9 - 7) , 7 - 6 (7 - 3)
10  runner - up                     sheffield , uk    hard (i)           stefano galvani           4 - 6 , 6 - 4 , 0 - 6
11       winner           atp challenger guangzhou        hard     alexander kudryavtsev                   6 - 4 , 6 - 4
12  runner - up              namangan , uzbekistan        hard             ivan sergeyev           6 - 7 (5 - 7) , 1 - 6
13       winner                   kassel , germany        clay                 jan minář           6 - 4 , 7 - 6 (7 - 3)
14       winner              tashkent , uzbekistan        hard               lukáš lacko           6 - 3 , 7 - 6 (7 - 3)
