     rank                      nation  gold  silver  bronze  total
0       1                 japan (jpn)    23       9       4     36
1       2                  iran (iri)     9       8       5     22
2       3              malaysia (mas)     6       7      13     26
3       4                kuwait (kuw)     5       4       6     15
4       5               vietnam (vie)     4       6       7     17
5       6            kazakhstan (kaz)     3       2       4      9
6       7             indonesia (ina)     2       6      11     19
7       8        chinese taipei (tpe)     2       4      15     21
8       9                 china (chn)     2       0       1      3
9      10                 syria (syr)     1       2       2      5
10     10            uzbekistan (uzb)     1       2       2      5
11     12                jordan (jor)     1       1       4      6
12     13          saudi arabia (ksa)     0       2       3      5
13     14                 macau (mac)     0       1       8      9
14     15           philippines (phi)     0       1       5      6
15     15              thailand (tha)     0       1       5      6
16     17             hong kong (hkg)     0       1       3      4
17     18  united arab emirates (uae)     0       1       1      2
18     19           south korea (kor)     0       0       4      4
19     20                brunei (bru)     0       0       3      3
20     20                 qatar (qat)     0       0       3      3
21     22                 nepal (nep)     0       0       2      2
22     22            tajikistan (tjk)     0       0       2      2
23     24             sri lanka (sri)     0       0       1      1
24  total                       total    59      58     114    231
