         province  population (2004 estimate)  area (km square)  density  gdp (2003 , pps in mil )  gdp per cap (2003 , in )
0   south holland                     3453000              2860   1207.3                     95868                     27825
1   north holland                     2583900              2660    971.4                     65295                     27169
2         utrecht                     1159200              1356    854.9                     38355                     33148
3         limburg                     1143000              2167    527.5                     28038                     24585
4   north brabant                     2406900              4938    487.4                     65295                     27169
5      gelderland                     1967600              4995    393.9                     45043                     22942
6      overijssel                     1105800              3337    331.4                     25854                     23441
7       flevoland                      356400              1426    249.9                      6915                     19439
8       groningen                      575900              2344    245.7                     18496                     32245
9         zeeland                      378300              1792    211.1                      9354                     24706
10      friesland                      642500              3361    191.2                     13989                     21830
11        drenthe                      482300              2652    181.9                     10323                     21427
